"Year","Rank","Book_Title","Author","Rating","Num_Customers_Rated","Price"
2011,7,"Inheritance: Book IV (Inheritance Cycle)","Christopher Paolini",4.6,6104,18.8
2011,8,"Go the F**k to Sleep","Adam Mansbach",4.8,12832,12.58
2011,9,"Mockingjay (The Hunger Games)","Suzanne Collins",4.5,28849,8.79
2011,10,"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows","George R.R. Martin",4.6,5840,3.71
2011,11,"Catching Fire (The Hunger Games)","Suzanne Collins",4.7,24700,11.57
2011,12,"The 17 Day Diet: A Doctor's Plan Designed for Rapid Results","Mike Moreno",4.3,2512,20.99
2011,13,"A Dance with Dragons (A Song of Ice and Fire)","George R. R. Martin",4.4,13750,20.98
2011,14,"The Son of Neptune (Heroes of Olympus, Book 2)","Rick Riordan",4.8,5540,1
2011,15,"Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series)","Bill O'Reilly",4.7,9690,19.99
2011,16,"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association",4.5,10383,15.99
2011,17,"The Help","Kathryn Stockett",4.8,14772,9
2011,18,"The Immortal Life of Henrietta Lacks","Rebecca Skloot",4.7,11370,0.94
2011,19,"11/22/63: A Novel","Stephen King",4.7,2253,3.15
2011,20,"The Official SAT Study Guide","The College Board",4.4,1323,0.59
2011,21,"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young",4.9,21922,7.26
2011,22,"The Hunger Games Trilogy Boxed Set (1)","Suzanne Collins",4.8,19765,3.99
2011,23,"Cutting for Stone","Abraham Verghese",4.6,5286,7.59
2011,24,"Tina Fey: Bossypants","Tina Fey",4.3,6531,15.36
2011,25,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman","Timothy Ferriss",4.4,5152,22
2011,26,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin","Eric Larson",4.5,5157,29.89
2011,27,"The 5 Love Languages: The Secret to Love That Lasts","Gary Chapman",4.7,3929,19.6
2011,28,"Crazy Love: Overwhelmed by a Relentless God","Francis Chan",4.7,1664,14.98
2011,29,"A Stolen Life: A Memoir","Jaycee Dugard",4.7,4612,19.95
