title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated,Price,,,,,,,
Bring Up the Bodies,Thomas Cromwell #2,4.27,English,"['Historical Fiction', 'Fiction', 'Historical', 'British Literature', 'Literary Fiction', 'Audiobook', 'Tudor Period', 'Literature', 'Novels', '16th Century']",Hardcover,412,"Henry Holt & Company, Inc.",5/8/2012,"['Booker Prize (2012)', 'Costa Book Award for Novel (2012)', 'Audie Award for Literary Fiction (2013)', ""Women's Prize for Fiction Nominee (2013)"", 'Andrew Carnegie Medal Nominee for Fiction (2013)', 'Walter Scott Prize Nominee (2013)', 'Goodreads Choice Award Nominee for Historical Fiction (2012)', 'Waterstones Book of the Year Nominee (2012)', 'Costa Book of the Year (2012)']",73119,"['35660', '26088', '7988', '2176', '1207']",95,['England'],2012,Hilary Mantel,5796,21.08,,,,,,,
"Brown Bear, Brown Bear, What Do You See?",Bill Martin's Bears #1,4.21,English,"['Picture Books', 'Childrens', 'Animals', 'Fiction', 'Classics', 'Storytime', 'Poetry', 'Kids', 'Juvenile', 'Young Adult']",Board book,24,Henry Holt and Co.,9/15/1996,0,151837,"['80378', '36496', '25035', '7022', '2906']",93,Missing,2015,Bill Martin Jr.,21233,5,,,,,,,
Burning Chrome,Sprawl #0,4.06,English,"['Science Fiction', 'Cyberpunk', 'Fiction', 'Short Stories', 'Science Fiction Fantasy', 'Fantasy', 'Speculative Fiction', 'Dystopia', 'American', 'Anthologies']",Paperback,224,Harper Voyager,7/29/2003,"['Hugo Award Nominee for Best Novelette for ""The Winter Market"" (1987)', 'Nebula Award Nominee for Best Novelette for ""Burning Chrome"" (1982)', 'Locus Award Nominee for Best Collection (1987)', 'SF Chronicle Award Nominee for Best Novelette for ""The Winter Market"" (1987)']",34520,"['11910', '14162', '7195', '1052', '201']",96,Missing,Missing,William Gibson,Missing,Missing,,,,,,,
Call Down the Hawk,Dreamer Trilogy #1,4.36,English,"['Fantasy', 'Young Adult', 'LGBT', 'Fiction', 'Urban Fantasy', 'Paranormal', 'Magical Realism', 'Young Adult Fantasy', 'Audiobook', 'Queer']",Hardcover,472,Scholastic Press,11/5/2019,['Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2019)'],18681,"['9591', '6731', '1910', '340', '109']",98,Missing,Missing,Maggie Stiefvater,Missing,Missing,,,,,,,
Call Me By Your Name,Call Me By Your Name #1,4.23,English,"['Fiction', 'Romance', 'LGBT', 'Contemporary', 'Queer', 'Audiobook', 'Adult', 'Gay', 'Coming Of Age', 'M M Romance']",Paperback,248,Atlantic Books,9/21/2017,0,210409,"['107822', '61594', '27353', '9154', '4486']",94,"['Italy', 'Italian Riviera (Italy)', 'Liguria (Italy)']",Missing,Andre Aciman,Missing,Missing,,,,,,,
Can't Hurt Me: Master Your Mind and Defy the Odds,Missing,4.41,English,"['Nonfiction', 'Self Help', 'Biography', 'Personal Development', 'Psychology', 'Audiobook', 'Memoir', 'Autobiography', 'Leadership', 'Military Fiction']",Kindle Edition,366,Lioncrest Publishing,12/4/2018,0,56489,"['34729', '13829', '5396', '1636', '899']",96,Missing,2019,David Goggins,25506,17.94,,,,,,,
Charlie and the Chocolate Factory,Charlie Bucket #1,4.14,English,"['Childrens', 'Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Middle Grade', 'Humor', 'Adventure', 'Juvenile', 'Novels']",Paperback,176,Puffin Books,6/2/2005,"['Books I Loved Best Yearly (BILBY) Awards for Read Aloud (1992)', ""North Dakota Children's Choice Award (1985)""]",664710,"['285308', '229774', '117014', '22663', '9951']",95,Missing,Missing,Roald Dahl,Missing,Missing,,,,,,,
Circe,Missing,4.26,English,"['Fantasy', 'Fiction', 'Mythology', 'Historical Fiction', 'Audiobook', 'Retellings', 'Historical', 'Adult', 'Magic', 'Adult Fiction']",Hardcover,393,"Little, Brown and Company",4/10/2018,"['Mythopoeic Fantasy Award Nominee for Adult Literature (2019)', 'ALA Alex Award (2019)', ""Women's Prize for Fiction Nominee (2019)"", 'Goodreads Choice Award for Fantasy (2018)']",343022,"['165190', '121246', '42221', '9539', '4826']",96,"['Aiaia (island)', 'Ancient Greece (Greece)']",Missing,Madeline Miller,Missing,Missing,,,,,,,
Cleopatra: A Life,Missing,3.69,English,"['History', 'Biography', 'Nonfiction', 'Historical', 'Egypt', 'Biography Memoir', 'Audiobook', 'Africa', 'Ancient History', 'Womens']",Hardcover,369,"Little, Brown and Company",11/1/2010,"['PEN/Jacqueline Bograd Weld Award for Biography (2011)', 'Goodreads Choice Award Nominee for History and Biography (2010)']",100222,"['29787', '30954', '23974', '9170', '6337']",85,"['Alexandria (Egypt)', 'Ptolemaic Egypt (Egypt)']",2010,Stacy Schiff,1175,11,,,,,,,
Cloud Atlas,Missing,4.01,English,"['Fiction', 'Science Fiction', 'Fantasy', 'Historical Fiction', 'Dystopia', 'Contemporary', 'Novels', 'Literary Fiction', 'Literature', 'Historical']",Paperback,509,Random House,8/17/2004,"['Booker Prize Nominee (2004)', 'Nebula Award Nominee for Best Novel (2004)', 'Locus Award Nominee for Best SF Novel (2005)', 'Arthur C. Clarke Award Nominee (2005)', 'James Tait Black Memorial Prize Nominee for Fiction (2004)', 'British Book Award for Best Read of the Year (2005)', 'National Book Critics Circle Award Nominee for Fiction (2004)', 'Geoffrey Faber Memorial Prize (2005)', 'Tähtivaeltaja Award Nominee (2009)', 'The Rooster -- The Morning News Tournament of Books (2005)']",216149,"['85845', '73665', '36163', '13497', '6979']",91,"['Chatham Islands (New Zealand)', 'Neerbeke, West Vlaanderen (Belgium)', 'Buenas Yerbas (United States)', 'London, England', 'Seoul, South Korea (Korea, Republic of)', 'Maui, Hawaii (United States)']",2012,David Mitchell,414,1.49,,,,,,,
