title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated,Price,,,,,,,
Harry Potter and the Prisoner of Azkaban,Harry Potter #3,4.57,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Middle Grade', 'Audiobook', 'Classics', 'Science Fiction Fantasy']",Mass Market Paperback,435,Scholastic Inc.,5/1/2004,"['Bram Stoker Award for Best Work for Young Readers (1999)', 'Hugo Award Nominee for Best Novel (2000)', 'Locus Award for Best Fantasy Novel (2000)', ""Whitbread Award for Children's Book of the Year (1999)"", ""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2005)', 'Colorado Blue Spruce Young Adult Book Award (2004)', 'Maine Student Book Award (2001)', 'Golden Archer Award for Intermediate (2001)', 'Indian Paintbrush Book Award (2004)', 'Soaring Eagle Book Award (2002)', 'Hotze de Roosprijs (2001)', 'Nestlé Smarties Book Prize for 9–11 years (1999)']",2806471,"['1892635', '668920', '205266', '27227', '12423']",99,"['Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'London, England']",Missing,J. K. Rowling,Missing,Missing,,,,,,,
Harry Potter and the Sorcerer's Stone,Harry Potter #1,4.47,English,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Adventure', 'Classics', 'Audiobook', 'Science Fiction Fantasy']",Hardcover,309,Scholastic Inc,11/1/2003,"[""Mythopoeic Fantasy Award for Children's Literature (2008)"", ""British Book Award for Children's Book of the Year (1998)"", 'Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar (2002)', 'American Booksellers Book Of The Year  Award for Children (1999)', 'Audie Award (2000)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2000)"", 'South Carolina Book Award for Junior Book Award (2001)', 'Grand Canyon Reader Award for Teen Book (2000)', 'Charlotte Award (2000)', 'Nene Award (2000)', ""Massachusetts Children's Book Award (2000)"", 'Colorado Blue Spruce Young Adult Book Award (2001)', 'Blue Hen Book Award for Chapter Book (2001)', ""Nevada Young Readers' Award for Young Reader Category (2000)"", 'Golden Archer Award for Middle/Junior High (2000)', 'Indian Paintbrush Book Award (2000)', 'Hotze de Roosprijs (2002)', 'Nestlé Smarties Book Prize for 9–11 years (1997)', 'Eliot Rosewater Indiana High School Book Award (2001)', 'Kinderboekwinkelprijs (1999)', 'Parenting Book of the Year Award (1998)', 'North East Teenage Book Award (1999)', ""Specsavers National Book Award for Children's Book of the Year (1998)"", 'Washington State Sasquatch Award (2000)', 'Literaturpreis der Jury der jungen Leser for Kinderbuch (1999)', 'Carnegie Medal Nominee (1997)', ""Rebecca Caudill Young Readers' Book Award (2001)"", 'Premi Protagonista Jove for Categoria 12-13 anys (2000)']",7048471,"['4578137', '1611874', '600384', '139551', '118525']",96,"['London, England', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)']",2016,J.K. Rowling,4231,1,,,,,,,
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Heaven is For Real,4.02,English,"['Nonfiction', 'Christian', 'Religion', 'Inspirational', 'Spirituality', 'Memoir', 'Biography', 'Faith', 'Christianity', 'Christian Non Fiction']",Paperback,162,Thomas Nelson,2010,0,276970,"['121313', '77785', '49855', '16966', '11051']",90,Missing,2011,Todd Burpo,16128,7.54,,,,,,,
Heroes,Missing,3.43,English,"['Young Adult', 'Historical Fiction', 'School', 'Fiction', 'Historical', 'War', 'Read For School', 'Classics', 'World War II', 'Thriller']",Paperback,144,Laurel Leaf,2/8/2000,['Carnegie Medal Nominee (1998)'],2935,"['502', '913', '1015', '359', '146']",83,Missing,Missing,Stephen Fry,Missing,Missing,,,,,,,
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,Missing,3.93,English,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Politics', 'Biography Memoir', 'Sociology', 'History', 'Autobiography', 'Book Club']",Hardcover,257,Harper,6/28/2016,"['Audie Award for Nonfiction (2017)', 'Ohioana Book Award for About Ohio or an Ohioan (2017)', 'Kirkus Prize Nominee for Nonfiction (2016)', 'Goodreads Choice Award Nominee for Memoir & Autobiography (2016)']",302052,"['92226', '122846', '65341', '16023', '5616']",93,"['Middletown, Ohio (United States)', 'New Haven, Connecticut (United States)', 'Jackson, Kentucky (United States)']",2017,J. D. Vance,19318,2.75,,,,,,,
His Dark Materials,His Dark Materials #1-3,4.25,English,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Science Fiction Fantasy', 'Science Fiction', 'Adventure', 'Classics', 'Steampunk', 'Magic']",Mass Market Paperback,1088,Laurel Leaf Library,9/23/2003,['Literaturpreis der Jury der jungen Leser for Kinderbuch (2002)'],143625,"['74761', '42286', '18018', '5392', '3168']",94,"['Oxford, England']",Missing,Philip Pullman,Missing,Missing,,,,,,,
Holes,Holes #1,3.97,English,"['Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'Realistic Fiction', 'Classics', 'Mystery', 'Adventure', 'School', 'Contemporary']",Paperback,233,Scholastic,9/2/2000,"['Newbery Medal (1999)', ""National Book Award for Young People's Literature (1998)"", ""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2001)"", 'Grand Canyon Reader Award for Teen Book (2001)', 'Nene Award (2001)', 'Maryland Black-Eyed Susan Book Award for Grade 6-9 (2001)', ""Massachusetts Children's Book Award (2001)"", ""Flicker Tale Children's Book Award (2000)"", ""Pennsylvania Young Readers' Choice Award for Grades 6-8 (2000)"", ""Dorothy Canfield Fisher Children's Book Award (2000)"", 'Evergreen Teen Book Award (2001)', 'Soaring Eagle Book Award (2003)', 'Sunshine State Young Readers Award for Grades 3-5 and Grades 6-8 (2002)', ""Pacific Northwest Library Association Young Reader's Choice Award for Junior (2001)"", 'Zilveren Zoen (2000)', 'Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2001)', 'Boston Globe-Horn Book Award for Fiction (1999)', 'New Mexico Land of Enchantment Award for Young Adult (2001)', ""William Allen White Children's Book Award (2001)"", 'Oklahoma Sequoyah Award for Children and YA (2001)', ""Rebecca Caudill Young Readers' Book Award (2002)"", 'Premi Protagonista Jove for Categoria 14-15 anys (2000)']",969512,"['348320', '336345', '212135', '52958', '19754']",93,"['Green Lake, Texas (United States)']",Missing,Louis Sachar,Missing,Missing,,,,,,,
Home,Gilead,4.02,English,"['Fiction', 'Historical Fiction', 'Novels', 'Literary Fiction', 'Literature', 'Religion', 'Contemporary', 'Family', 'Adult Fiction', 'Audiobook']",Hardcover,325,"Farrar, Straus and Giroux",9/2/2008,"['Orange Prize for Fiction (2009)', 'Los Angeles Times Book Prize for Fiction (2008)', 'National Book Critics Circle Award Nominee for Fiction (2008)', 'National Book Award Finalist for Fiction (2008)', 'International Dublin Literary Award Nominee for Shortlist (2010)']",20698,"['7713', '7596', '3816', '1156', '417']",92,"['Gilead, Iowa (United States)']",Missing,Julie Andrews,Missing,Missing,,,,,,,
Hotel on the Corner of Bitter and Sweet,Missing,4.02,English,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'World War II', 'Book Club', 'Adult Fiction', 'War', 'Adult', 'Audiobook']",Hardcover,290,Ballantine Books,1/27/2009,"['Montana Book Award (2009)', 'Goodreads Choice Award Nominee for Fiction (2009)', ""David J. Langum Sr. Prize Nominee for American Historical Fiction  (Director's Mention) (2009)"", 'Asian/Pacific American Award for Literature for Adult Fiction (2009)']",262877,"['87460', '109281', '52410', '10819', '2907']",95,"['Seattle, Washington (United States)', 'Puyallup, Washington (United States)', 'Minidoka, Idaho (United States)', 'Washington (state) (United States)']",2010,Jamie Ford,4464,13.14,,,,,,,
How the Grinch Stole Christmas!,Missing,4.36,English,"['Childrens', 'Picture Books', 'Christmas', 'Classics', 'Fiction', 'Poetry', 'Holiday', 'Fantasy', 'Humor', 'Kids']",Hardcover,64,Harper Collins Children's Books,10/4/2004,0,330214,"['196470', '77848', '40129', '10035', '5732']",95,"['Who-ville, Mount Crumpit']",Missing,Dr. Seuss,Missing,Missing,,,,,,,
How to Win Friends and Influence People,Missing,4.2,English,"['Nonfiction', 'Self Help', 'Business', 'Psychology', 'Personal Development', 'Leadership', 'Classics', 'Communication', 'Audiobook', 'Relationships']",Paperback,288,Gallery Books,10/1/1998,0,611358,"['303355', '180793', '89094', '24385', '13731']",94,Missing,Missing,Dale Carnegie,Missing,Missing,,,,,,,
Humans,Neanderthal Parallax #2,3.82,English,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Fantasy', 'Canada', 'Alternate History', 'Audiobook', 'Alternate Universe', 'Romance', 'Speculative Fiction']",Paperback,352,Tor Books,5/31/2011,['Hugo Award Nominee for Best Novel (2004)'],5412,"['1436', '2138', '1387', '343', '108']",92,"['Toronto, Ontario (Canada)']",2020,Brandon Stanton,7099,17.5,,,,,,,
Humans of New York,Missing,4.48,English,"['Nonfiction', 'Photography', 'Art', 'New York', 'Adult', 'Biography', 'Travel', 'Art and Photography', 'Inspirational', 'American']",Hardcover,304,St. Martin's Press,10/15/2013,0,16332,"['10258', '4251', '1442', '248', '133']",98,['New York State (United States)'],2013,Brandon Stanton,4078,22.16,,,,,,,
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Missing,4.15,English,"['Humor', 'Nonfiction', 'Graphic Novels', 'Memoir', 'Comics', 'Comedy', 'Biography', 'Mental Health', 'Adult', 'Short Stories']",Paperback,371,Gallery Books,10/29/2013,['Goodreads Choice Award for Humor (2013)'],176611,"['85695', '52536', '24004', '8050', '6326']",92,Missing,2013,Allie Brosh,5891,5.63,,,,,,,
I Know Why the Caged Bird Sings,Maya Angelou's Autobiography #1,4.24,English,"['Nonfiction', 'Classics', 'Memoir', 'Biography', 'Autobiography', 'Poetry', 'Feminism', 'African American', 'Biography Memoir', 'Race']",Paperback,289,Bantam Books,11/28/1993,['Coretta Scott King Book Award for Author Honor (1971)'],409104,"['202334', '131201', '54622', '13325', '7622']",95,"['Arkansas (United States)', 'Louisiana (United States)', 'California (United States)', 'Missouri (United States)']",Missing,Maya Angelou,Missing,Missing,,,,,,,
I Want My Hat Back,Hat Trilogy #1,4.37,English,"['Picture Books', 'Childrens', 'Humor', 'Animals', 'Fiction', 'Storytime', 'Fantasy', 'Kids', 'Canada', 'Juvenile']",Hardcover,40,Candlewick Press,9/27/2011,"['E.B. White Read Aloud Award for Picture Books (2012)', 'Theodor Seuss Geisel Award Nominee (2012)', 'Deutscher Jugendliteraturpreis for Bilderbuch (2013)', 'Irma Black Award Nominee (2012)', 'Selezionato Mostra Internazionale d’illustrazione per l’infanzia di Sarmede (2011)', 'Goodreads Choice Award Nominee for Picture Books (2011)']",26112,"['15209', '7017', '2646', '768', '472']",95,Missing,Missing,Jon Klassen,Missing,Missing,,,,,,,
If I Stay,If I Stay #1,3.94,English,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Teen', 'Music', 'Death', 'Audiobook', 'Young Adult Contemporary']",Hardcover,201,Dutton Books for Young Readers,4/2/2009,"['Georgia Peach Book Award Nominee for Honor book (2010)', 'South Carolina Book Award Nominee for Young Adult Book Award (2011)', 'Blue Hen Book Award for Teen Readers (2011)', ""Pennsylvania Young Readers' Choice Award Nominee (2011)"", 'Milwaukee County Teen Book Award Nominee (2010)', 'Florida Teens Read Nominee (2010)', 'The Inky Awards Nominee for Silver Inky (2009)', 'California Young Readers Medal Nominee for Young Adult (2012)', 'Lincoln Award Nominee (2012)', ""NAIBA Book of the Year for Children's Literature (2009)"", 'Goodreads Choice Award Nominee for Young Adult Fiction (2009)', 'Carnegie Medal Nominee (2010)', 'Missouri Gateway Readers Award Nominee (2012)']",712350,"['257068', '237108', '155491', '45192', '17491']",91,"['United States of America', 'Oregon (United States)']",2014,Gayle Forman,8339,0.25,,,,,,,
In Defense of Food: An Eater's Manifesto,Missing,4.08,English,"['Nonfiction', 'Food', 'Health', 'Science', 'Nutrition', 'Audiobook', 'Cooking', 'Environment', 'Foodie', 'Sustainability']",Hardcover,205,Penguin Press,1/1/2008,0,102455,"['36595', '42545', '19031', '3282', '1002']",96,Missing,2010,Michael Pollan,1884,13.69,,,,,,,
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Missing,3.85,English,"['History', 'Nonfiction', 'World War II', 'Historical', 'Biography', 'Germany', 'War', 'Audiobook', 'Holocaust', 'Politics']",Hardcover,448,Crown,5/10/2011,"['Washington State Book Award for History/General Nonfiction (2012)', 'Chautauqua Prize Nominee (2012)', 'Goodreads Choice Award Nominee for History & Biography (2011)']",160937,"['42308', '66285', '40355', '9310', '2679']",93,['Berlin (Germany)'],2011,Eric Larson,5157,29.89,,,,,,,
Inferno,La Divina Commedia #1,4,English,"['Classics', 'Poetry', 'Fiction', 'Literature', 'Religion', 'Fantasy', 'School', 'Italian Literature', 'Philosophy', 'Medieval']",Paperback,490,Modern Library,12/9/2003,"['Los Angeles Times Book Prize for Poetry (1995)', 'Премія імені Максима Рильського (2015)']",143016,"['53836', '48982', '29359', '8035', '2804']",92,Missing,2013,Dan Brown,30849,14.75,,,,,,,
Island,Missing,3.83,English,"['Fiction', 'Classics', 'Science Fiction', 'Philosophy', 'Dystopia', 'Literature', 'Novels', 'Utopia', 'Fantasy', 'British Literature']",Paperback,354,Harper Perennial Classics,7/30/2002,0,25256,"['8318', '8200', '5692', '2199', '847']",88,Missing,Missing,Aldous Huxley,Missing,Missing,,,,,,,
Just Mercy: A Story of Justice and Redemption,Missing,4.6,English,"['Nonfiction', 'Memoir', 'Social Justice', 'Race', 'Politics', 'History', 'Audiobook', 'Law', 'Biography', 'Anti Racist']",Hardcover,336,Spiegel & Grau,10/21/2014,"['Warwick Prize for Writing Nominee for Longlist (2015)', 'Dayton Literary Peace Prize for Non-Fiction (2015)', 'NAIBA Book of the Year for Nonfiction (2015)', 'Andrew Carnegie Medal for Nonfiction (2015)', 'Kirkus Prize Nominee for Nonfiction (Finalist) (2014)', 'Alabama Author Award for Nonfiction (2016)']",143058,"['101156', '31163', '7081', '2050', '1608']",97,['Alabama (United States)'],2020,Bryan Stevenson,15340,3.04,,,,,,,
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,Missing,4.07,English,"['Nonfiction', 'History', 'True Crime', 'Crime', 'Mystery', 'Audiobook', 'Historical', 'American History', 'Book Club', 'Adult']",ebook,359,Doubleday,4/18/2017,"['Anthony Award for Best Critical/NonFiction Work (2018)', 'Edgar Award for Best Fact Crime (2018)', 'Andrew Carnegie Medal Nominee for Nonfiction (2018)', 'National Book Award Finalist for Nonfiction (2017)', 'Spur Award for Best Western Historical Nonfiction (2018)', 'Goodreads Choice Award Nominee for History & Biography (2017)', 'Brooklyn Public Library Literary Prize Nominee for Nonfiction (2017)']",127328,"['45279', '54209', '21634', '4328', '1878']",95,Missing,2017,David Grann,10461,15.81,,,,,,,
Killing Kennedy: The End of Camelot,Bill O'Reilly's Killing Series,4.07,English,"['History', 'Nonfiction', 'Biography', 'Historical', 'Politics', 'American History', 'Audiobook', 'Presidents', 'True Crime', 'Biography Memoir']",Hardcover,325,Henry Holt and Co.,10/2/2012,['Goodreads Choice Award Nominee for History & Biography (2012)'],49770,"['18482', '20237', '8260', '1717', '1074']",94,Missing,2012,Bill O'Reilly,8933,19.82,,,,,,,
Knife,Faery Rebels #1,3.97,English,"['Fantasy', 'Young Adult', 'Fairies', 'Fae', 'Magic', 'Paranormal', 'Romance', 'Fiction', 'Urban Fantasy', 'Adventure']",Paperback,320,Orchard,1/8/2009,"['CLA Book of the Year for Children Award Nominee (2010)', 'Concorde Book Award (2011)', 'Carnegie Medal Nominee (2010)']",5027,"['1798', '1785', '1054', '252', '138']",92,['United Kingdom'],Missing,Jo Nesbo,Missing,Missing,,,,,,,
"Lean In: Women, Work, and the Will to Lead",Missing,3.95,English,"['Nonfiction', 'Business', 'Feminism', 'Self Help', 'Leadership', 'Womens', 'Audiobook', 'Memoir', 'Biography', 'Personal Development']",Hardcover,217,Knopf,3/11/2013,"['Financial Times and McKinsey Business Book of the Year Nominee for Shortlist (2013)', ""CMI Management Book of the Year Awards Nominee for The Commuter's Read (2014)"", 'Goodreads Choice Award Nominee for Nonfiction (2013)']",222376,"['76503', '82838', '44746', '11714', '6575']",92,Missing,2013,Sheryl Sandberg,6611,0.99,,,,,,,
Legacy,Keeper of the Lost Cities #8,4.53,English,"['Fantasy', 'Middle Grade', 'Young Adult', 'Adventure', 'Fiction', 'Romance', 'Childrens', 'Young Adult Fantasy', 'Audiobook', 'Urban Fantasy']",Kindle Edition,797,Aladdin,11/5/2019,"[""Goodreads Choice Award Nominee for Middle Grade & Children's (2019)""]",7396,"['5049', '1518', '594', '149', '86']",97,Missing,Missing,James Kerr,Missing,Missing,,,,,,,
Leonardo da Vinci,Missing,4.14,English,"['Biography', 'Nonfiction', 'History', 'Art', 'Science', 'Biography Memoir', 'Audiobook', 'Italy', 'Historical', 'Art History']",Hardcover,600,Simon & Schuster,10/17/2017,"['Andrew Carnegie Medal Nominee for Nonfiction (2018)', 'Goodreads Choice Award Nominee for History & Biography (2017)']",61546,"['28621', '19782', '8552', '2596', '1995']",93,Missing,2017,Walter Isaacson,3730,3.22,,,,,,,
Lethal White,Cormoran Strike #4,4.2,English,"['Mystery', 'Fiction', 'Crime', 'Audiobook', 'Thriller', 'Mystery Thriller', 'Adult', 'Detective', 'Contemporary', 'British Literature']",Paperback,650,Mulholland Books,6/11/2019,['Goodreads Choice Award Nominee for Mystery & Thriller (2018)'],119925,"['50549', '49235', '15614', '3013', '1514']",96,Missing,Missing,Robert Galbraith,Missing,Missing,,,,,,,
Life,Missing,3.87,English,"['Music', 'Biography', 'Nonfiction', 'Memoir', 'Autobiography', 'Biography Memoir', 'Audiobook', 'History', 'Rock N Roll', 'Pop Culture']",Hardcover,564,Weidenfeld & Nicolson,10/26/2010,['Audie Award for Audiobook of the Year (2011)'],82104,"['26771', '29310', '17505', '5484', '3034']",90,Missing,2010,Keith Richards,3153,20.49,,,,,,,
Little Fires Everywhere,Missing,4.1,English,"['Fiction', 'Contemporary', 'Audiobook', 'Adult', 'Adult Fiction', 'Literary Fiction', 'Book Club', 'Novels', 'Family', 'Realistic Fiction']",Paperback,368,Penguin Books,3/17/2020,"['Goodreads Choice Award for Fiction (2017) and Nominee for Best of the Best  (2018)', 'NAACP Image Award Nominee for Fiction (2018)', 'Book of the Month Book of the Year Award Nominee (2017)']",712854,"['250439', '315159', '119443', '21545', '6268']",96,"['Cleveland, Ohio (United States)', 'Shaker Heights, Ohio (United States)', 'Ohio (United States)', 'Pittsburgh, Pennsylvania (United States)']",2018,Celeste Ng,38284,12.74,,,,,,,
Looking for Alaska,Missing,4.02,English,"['Young Adult', 'Fiction', 'Contemporary', 'Romance', 'Realistic Fiction', 'Coming Of Age', 'Teen', 'Mystery', 'Young Adult Contemporary', 'High School']",Paperback,221,Speak,12/28/2006,"['Los Angeles Times Book Prize Nominee for Young Adult Fiction (2005)', 'Michael L. Printz Award (2006)', 'Rhode Island Teen Book Award Nominee (2007)', 'Michigan Library Association Thumbs Up! Award Nominee (2006)', 'Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2008)', 'The Inky Awards for Silver Inky (2007)', 'Lincoln Award Nominee (2009)', 'Bronzener Lufti (2007)', 'Green Mountain Book Award (2008)', 'The Inky Awards Shortlist for Silver Inky (2007)', 'Alabama Author Award for Young Adult (2006)', 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2014)']",1113222,"['455206', '350955', '210930', '68230', '27901']",91,['Alabama (United States)'],2013,John Green,10010,0.35,,,,,,,
Lord of the Flies,Missing,3.69,English,"['Classics', 'Fiction', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School', 'Novels', 'High School', 'Adventure']",Paperback,182,Penguin Books,10/1/1999,0,2263259,"['617568', '763438', '555614', '205804', '120835']",86,Missing,2014,William Golding,15856,0.94,,,,,,,
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Missing,3.6,English,"['Nonfiction', 'Theology', 'Religion', 'Christian', 'Christianity', 'Spirituality', 'Faith', 'Philosophy', 'Christian Living', 'Audiobook']",Kindle Edition,243,HarperOne,3/15/2011,0,24235,"['7182', '7433', '4944', '2090', '2586']",81,Missing,2011,Rob Bell,1780,19.96,,,,,,,
Love You Forever,Missing,4.36,English,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Family', 'Love', 'Kids', 'Realistic Fiction', 'Canada', 'Juvenile']",Paperback,32,Firefly Books,9/1/1995,0,202401,"['130795', '35789', '20450', '7789', '7578']",92,Missing,2013,Robert Munsch,26343,0.25,,,,,,,
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Missing,3.99,English,"['Nonfiction', 'Self Help', 'Personal Development', 'Audiobook', 'Leadership', 'Business', 'Military Fiction', 'Memoir', 'Psychology', 'Biography']",Audiobook,2,Grand Central Publishing,4/17/2017,0,62247,"['25326', '18924', '12021', '3813', '2163']",90,Missing,2017,Admiral William H. McRaven,14473,4.81,,,,,,,
Man's Search for Meaning,Missing,4.36,English,"['Nonfiction', 'Psychology', 'Philosophy', 'History', 'Memoir', 'Self Help', 'Biography', 'Classics', 'Holocaust', 'Spirituality']",Paperback,165,Beacon Press,6/1/2006,0,400761,"['221757', '119918', '44536', '9508', '5042']",96,"['Auschwitz (Poland)', 'Dachau (Germany)']",2020,Viktor E. Frankl,23253,8.39,,,,,,,
Matilda,Missing,4.32,English,"['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Young Adult', 'Middle Grade', 'Humor', 'Audiobook', 'Magic', 'Juvenile']",Paperback,240,Puffin Books,6/1/1998,"['Odyssey Award Nominee (2014)', 'Prijs van de Nederlandse Kinderjury for 10-12 jaar en 13-16 jaar (1989)', ""Audie Award for Children's Titles Ages 8-12 (2014)"", 'Books I Loved Best Yearly (BILBY) Awards for Read Aloud (1990), Younger Readers (1997) (1990)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (1989)"", ""Blue Peter Book Award for Voter's Award - Book that Made Me Laugh the Loudest (2000)"", ""Red House Children's Book Award (1989)"", 'Maryland Black-Eyed Susan Book Award for Book Award (1992)', ""Massachusetts Children's Book Award (1992)"", ""Nevada Young Readers' Award for Intermediate Category  (1992)"", ""Beehive Book Award for Children's Fiction (1991)"", 'Indian Paintbrush Book Award (1991)', 'Bluestem Book Award Nominee (2016)', ""Virginia Reader's Choice for Elementary (1990)"", ""Rebecca Caudill Young Readers' Book Award (1991)""]",647667,"['340257', '203271', '82637', '14606', '6896']",97,['United Kingdom'],Missing,Roald Dahl,Missing,Missing,,,,,,,
Me,Missing,3.55,English,"['Nonfiction', 'Biography', 'Autobiography', 'Memoir', 'Music', 'LGBT', 'Audiobook', 'Queer', 'Gay', 'Biography Memoir']",Hardcover,292,Celebra,11/2/2010,0,2364,"['588', '650', '716', '299', '111']",83,Missing,Missing,Elton John,Missing,Missing,,,,,,,
Meditations,Missing,4.22,English,"['Philosophy', 'Nonfiction', 'Classics', 'History', 'Self Help', 'Psychology', 'Spirituality', 'Personal Development', 'Leadership', 'Literature']",Paperback,303,Penguin Books,4/27/2006,0,124387,"['62304', '37235', '17521', '4881', '2446']",94,['Roman Empire'],Missing,Marcus Aurelius,Missing,Missing,,,,,,,
Mere Christianity,Missing,4.32,English,"['Christian', 'Nonfiction', 'Religion', 'Theology', 'Christianity', 'Classics', 'Philosophy', 'Faith', 'Spirituality', 'Christian Living']",Kindle Edition,168,Missing,7/2/2018,0,299335,"['170825', '78299', '33066', '9693', '7452']",94,Missing,Missing,C. S. Lewis,Missing,Missing,,,,,,,
Metro 2033,МЕТРО #1,4,English,"['Science Fiction', 'Fiction', 'Horror', 'Post Apocalyptic', 'Dystopia', 'Fantasy', 'Russia', 'Apocalyptic', 'Russian Literature', 'Audiobook']",Paperback,458,Future Corp.,1/17/2013,['Eurocon for Encouragement (2007)'],41414,"['14784', '15699', '7732', '2440', '759']",92,"['Moscow (Russian Federation)', 'Moscow (Russian Federation)']",Missing,Dmitry Glukhovsky,Missing,Missing,,,,,,,
Midnight Sun,The Twilight Saga #5,3.82,English,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Vampires', 'Fiction', 'Paranormal Romance', 'Audiobook', 'Supernatural', 'Urban Fantasy']",Hardcover,662,"Little, Brown Books for Young Readers",8/4/2020,0,63518,"['21441', '19389', '14908', '5668', '2112']",88,Missing,2020,Stephenie Meyer,53493,13.32,,,,,,,
Milk and Honey,Missing,4.07,English,"['Poetry', 'Feminism', 'Nonfiction', 'Contemporary', 'Adult', 'Romance', 'Audiobook', 'Mental Health', 'Canada', 'Womens']",Paperback,204,Createspace,11/4/2014,0,345201,"['165425', '90427', '52615', '23027', '13707']",89,Missing,2016,Rupi Kaur,24058,8.69,,,,,,,
Milkman,Missing,3.56,English,"['Fiction', 'Ireland', 'Literary Fiction', 'Historical Fiction', 'Irish Literature', 'Audiobook', 'Contemporary', 'Novels', 'Unfinished', 'Literature']",ebook,352,Faber & Faber,5/15/2018,"['Booker Prize (2018)', 'Orwell Prize for Political Fiction (2019)', 'National Book Critics Circle Award for Fiction (2018)', ""Women's Prize for Fiction Nominee (2019)"", 'Rathbones Folio Prize Nominee (2019)']",40510,"['10657', '12509', '9360', '4872', '3112']",80,Missing,Missing,Anna Burns,Missing,Missing,,,,,,,
Mindset: The New Psychology of Success,Missing,4.06,English,"['Psychology', 'Nonfiction', 'Self Help', 'Business', 'Education', 'Personal Development', 'Parenting', 'Leadership', 'Teaching', 'Productivity']",Hardcover,276,Random House,2/28/2006,0,88388,"['35986', '30322', '15675', '4450', '1955']",93,Missing,2013,Carol S. Dweck,7544,10.14,,,,,,,
Miss Peregrine's Home for Peculiar Children,Miss Peregrine's Peculiar Children #1,3.91,English,"['Fantasy', 'Young Adult', 'Fiction', 'Paranormal', 'Mystery', 'Horror', 'Time Travel', 'Historical Fiction', 'Supernatural', 'Adventure']",Hardcover,352,Quirk,6/7/2011,"[""Grand Prix de l'Imaginaire for Roman jeunesse étranger (2015)"", ""Pennsylvania Young Readers' Choice Award for Young Adults (2014)"", 'California Young Readers Medal Nominee for Young Adult (2016)', 'The Kitschies Nominee for Golden Tentacle (Debut) (2011)', 'Goodreads Choice Award Nominee for Favorite Book and for Young Adult Fantasy & Science Fiction (2011)']",977080,"['331709', '335251', '223102', '64434', '22584']",91,"['Englewood, Florida (United States)', 'Wales']",2011,Ransom Riggs,10925,14.16,,,,,,,
Mr Stink,Missing,4.22,English,"['Childrens', 'Fiction', 'Middle Grade', 'Humor', 'Novels', 'Comedy', 'Young Adult', 'Chapter Books', 'School', 'Contemporary']",Paperback,267,HarperCollins Children's,2009,['Hea Lasteraamat (2018)'],10835,"['5271', '3399', '1623', '382', '160']",95,Missing,Missing,David Walliams,Missing,Missing,,,,,,,
"My Sister, the Serial Killer",Missing,3.74,English,"['Fiction', 'Thriller', 'Mystery', 'Contemporary', 'Crime', 'Audiobook', 'Africa', 'Mystery Thriller', 'Adult', 'Nigeria']",Hardcover,226,Doubleday Books,11/20/2018,"['Booker Prize Nominee for Longlist (2019)', 'Los Angeles Times Book Prize for Mystery/Thriller (2018)', ""Women's Prize for Fiction Nominee (2019)"", 'Goodreads Choice Award Nominee for Mystery & Thriller and for Debut Novel (2019)', 'The Rooster -- The Morning News Tournament of Books (2019)']",149977,"['29186', '66197', '43299', '8904', '2391']",92,['Lagos (Nigeria)'],Missing,Oyinkan Braithwaite,Missing,Missing,,,,,,,
