title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated,Price
The Hate U Give,The Hate U Give #1,4.52,English,"['Young Adult', 'Fiction', 'Contemporary', 'Audiobook', 'Realistic Fiction', 'Race', 'Social Justice', 'Teen', 'Young Adult Contemporary', 'African American']",Hardcover,444,Balzer + Bray,02/28/17,"[""National Book Award Nominee for Young People's Literature (2017)"", 'Odyssey Award (2018)', 'William C. Morris YA Debut Award (2018)', 'Los Angeles Times Book Prize Nominee for Young Adult Literature (2017)', 'Edgar Award Nominee for Best Young Adult (2018)', 'Michael L. Printz Award Nominee (2018)', 'Rhode Island Teen Book Award (2019)', 'Evergreen Teen Book Award Nominee for High School (2020)', 'Coretta Scott King Book Award Nominee for Author Honor (2018)', 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2018)', 'Amelia Elizabeth Walden Award (2018)', 'Boston Globe-Horn Book Award for Fiction (2017)', 'Lincoln Award (2019)', ""Waterstones Children's Book Prize for Overall and Older Fiction (2018)"", ""Kirkus Prize Nominee for Young Readers' Literature (2017)"", 'Goodreads Choice Award for Young Adult Fiction & for Debut Goodreads Author (2017) and for Best of the Best  (2018)', 'Carnegie Medal Nominee (2018)', 'NAACP Image Award Nominee for Youth/Teens (2018)']",503674,"['319950', '139056', '34099', '6668', '3901']",98.0,"['United States of America', 'Garden Heights']",2018.0,Angie Thomas,14315.0,8.65
The Help,,4.47,English,"['Fiction', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Audiobook', 'Classics', 'Chick Lit', 'Book Club']",Hardcover,451,Amy Einhorn Books/G.P. Putnam's Sons,02/10/09,"['Orange Prize Nominee for Fiction Longlist (2010)', 'Audie Award for Fiction (2010)', 'Exclusive Books Boeke Prize (2009)', 'SIBA Book Award for Fiction (2010)', 'Indies Choice Book Award for Adult Debut (2010)', 'Puddly Award for Fiction (2011)', 'Lincoln Award Nominee (2013)', 'Grand Prix des lectrices de Elle for roman (2011)', 'Goodreads Choice Award for Fiction (2009) and Nominee for Best of the Best  (2018)', 'Townsend Prize for Fiction (2010)']",2164011,"['1300564', '636115', '176679', '34643', '16010']",98.0,"['Jackson, Mississippi (United States)', 'Jackson, Mississippi (United States)', 'Mississippi (United States)']",2011.0,Kathryn Stockett,14772.0,14.97
The Hunger Games,The Hunger Games #1,4.33,English,"['Young Adult', 'Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']",Hardcover,374,Scholastic Press,09/14/08,"['Locus Award Nominee for Best Young Adult Book (2009)', 'Georgia Peach Book Award (2009)', 'Buxtehuder Bulle (2009)', 'Golden Duck Award for Young Adult (Hal Clement Award) (2009)', ""Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2010)"", 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2012)', ""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2010)"", ""Red House Children's Book Award for Older Readers & Overall (2010)"", 'South Carolina Book Award for Junior and Young Adult Book (2011)', 'Charlotte Award (2010)', 'Colorado Blue Spruce Young Adult Book Award (2010)', 'Teen Buckeye Book Award (2009)', ""Pennsylvania Young Readers' Choice Award for Young Adults (2010)"", 'Rhode Island Teen Book Award (2010)', ""Dorothy Canfield Fisher Children's Book Award (2010)"", 'Evergreen Teen Book Award (2011)', 'Soaring Eagle Book Award (2009)', 'Milwaukee County Teen Book Award Nominee (2010)', 'Sakura Medal for Middle School Book (2010)', 'Michigan Library Association Thumbs Up! Award (2009)', 'Florida Teens Read (2009)', 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2010)', 'Iowa High School Book Award (2011)', 'New Mexico Land of Enchantment Award for Young Adult (2011)', 'Eliot Rosewater Indiana High School Book Award (2010)', 'The Inky Awards for Silver Inky (2009)', 'California Young Readers Medal for Young Adult (2011)', 'Lincoln Award (2011)', 'Kinderboekwinkelprijs (2010)', 'Missouri Truman Readers Award (2011)', 'CYBILS Award for Young Adult Fantasy & Science Fiction (2008)', 'Literaturpreis der Jury der jungen Leser for Jugendbuch (2010)', 'The Inky Awards Shortlist for Silver Inky (2009)', 'Prix Et-lisez-moi (2011)', 'Missouri Gateway Readers Award (2011)', 'Oklahoma Sequoyah Award for High School and Intermediate (2011)', 'Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2009)', ""Rebecca Caudill Young Readers' Book Award (2011)"", 'LovelyBooks Leserpreis for Fantasy (2009)', 'LovelyBooks Leserpreis for Bestes Cover/Umschlag (2009)', 'Premi Protagonista Jove for Categoria 13-14 anys (2010)']",6376780,"['3444695', '1921313', '745221', '171994', '93557']",96.0,"['District 12, Panem', 'Capitol, Panem', 'Panem (United States)']",2012.0,Suzanne Collins,34046.0,9.96
The Immortal Life of Henrietta Lacks,,4.07,English,"['Nonfiction', 'Science', 'History', 'Biography', 'Medicine', 'Audiobook', 'Book Club', 'Medical', 'Biography Memoir', 'Historical']",Hardcover,370,Crown Publishing Group,February 2nd 2010,"['Ambassador Book Award for American Studies (2011)', 'Audie Award for Nonfiction (2011)', 'Chicago Tribune Heartland Prize for Nonfiction (2010)', 'Wellcome Book Prize (2010)', 'Puddly Award for Nonfiction (2011)', 'Goodreads Choice Award for  Nonfiction and Debut Author and Nominee for Favorite Book (2010)', 'AAAS/Subaru SB&F Prize for Excellence in Science Books for Young Adult Science Book (2011)']",587187,"['238511', '210677', '94444', '25799', '17756']",93.0,"['Baltimore, Maryland (United States)', 'Clover, Virginia (United States)']",2012.0,Rebecca Skloot,11378.0,0.94
The Infinite Game,,4.22,,"['Business', 'Nonfiction', 'Leadership', 'Self Help', 'Personal Development', 'Management', 'Audiobook', 'Psychology', 'Philosophy', 'Buisness']",Hardcover,272,Portfolio,October 15th 2019,[],8188,"['3709', '2977', '1185', '242', '75']",96.0,[],,Simon Sinek,,
The Intelligent Investor,,4.23,English,"['Finance', 'Business', 'Nonfiction', 'Economics', 'Money', 'Personal Finance', 'Self Help', 'Buisness', 'Personal Development', 'Reference']",Paperback,623,Harper Business,February 21st 2006,[],80719,"['40888', '24579', '10305', '2821', '2126']",94.0,[],,Benjamin Graham,,
The Invention of Hugo Cabret,,4.22,English,"['Historical Fiction', 'Fiction', 'Young Adult', 'Childrens', 'Graphic Novels', 'Middle Grade', 'Fantasy', 'Mystery', 'Historical', 'Picture Books']",Hardcover,533,Scholastic Press,03/28/07,"['Caldecott Medal (2008)', ""Book Sense Book of the Year Award for Children's Literature (2008)"", ""Flicker Tale Children's Book Award (2009)"", ""Dorothy Canfield Fisher Children's Book Award Nominee (2009)"", 'Deutscher Jugendliteraturpreis Nominee for Kinderbuch (2009)', ""Iowa Children's Choice Award (2010)"", ""Boston Author's Club Young Reader Award (2008)"", ""NAIBA Book of the Year for Children's Literature (2007)"", ""National Book Award Finalist for Young People's Literature (2007)"", ""Rebecca Caudill Young Readers' Book Award Nominee (2009)"", 'لاک\u200cپشت پرنده for نشان طلایی (2012)']",162904,"['77330', '54165', '23792', '5289', '2328']",95.0,['Paris (France)'],2011.0,Brian Selznick,1778.0,17.29
The Invention of Wings,,4.24,English,"['Historical Fiction', 'Fiction', 'Historical', 'Book Club', 'Audiobook', 'Adult Fiction', 'Adult', 'Novels', 'African American', 'Southern']",Hardcover,384,Viking,January 7th 2014,"['Florida Book Award for General Fiction - Gold (2014)', 'Goodreads Choice Award Nominee for Historical Fiction (2014)', 'International Dublin Literary Award Nominee (2016)']",263623,"['114842', '107431', '33773', '5446', '2131']",97.0,"['Charleston, South Carolina (United States)']",2014.0,Sue Monk Kidd,15174.0,20.98
The Jolly Christmas Postman,The Jolly Postman,4.49,English,"['Christmas', 'Picture Books', 'Childrens', 'Holiday', 'Fiction', 'Fantasy', 'Humor', 'Fairy Tales', 'Writing', 'Poetry']",Hardcover,64,Little Brown & Co (Juv),September 1st 2001,['Kate Greenaway Medal (1991)'],3531,"['2293', '799', '346', '60', '33']",97.0,[],,Allan Ahlberg,,
The Last Wish,The Witcher #0.5,4.13,English,"['Fantasy', 'Fiction', 'Short Stories', 'High Fantasy', 'Audiobook', 'Magic', 'Adult', 'Adventure', 'Polish Literature', 'Epic Fantasy']",Kindle Edition,360,Orbit,December 14th 2008,"['Premio Ignotus for Mejor antología (2003)', 'Tähtifantasia Award (2011)']",190952,"['74685', '77090', '30710', '5992', '2475']",96.0,[],,Andrzej Sapkowski,,
The Laws of Human Nature,,4.39,,"['Psychology', 'Nonfiction', 'Philosophy', 'Self Help', 'History', 'Personal Development', 'Business', 'Audiobook', 'Leadership', 'Sociology']",Kindle Edition,624,Viking,October 23rd 2018,[],6724,"['3918', '1843', '704', '175', '84']",96.0,[],,Robert Greene,,
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Magic Cleaning #1,3.84,English,"['Nonfiction', 'Self Help', 'Audiobook', 'Personal Development', 'Psychology', 'Japan', 'How To', 'Adult', 'Productivity', 'Reference']",Hardcover,213,Ten Speed Press,October 14th 2014,[],279060,"['87635', '96062', '67288', '20499', '7576']",90.0,[],2018.0,Marie Kondō,24520.0,0.94
The Litigators,,3.81,English,"['Fiction', 'Thriller', 'Mystery', 'Legal Thriller', 'Crime', 'Audiobook', 'Suspense', 'Mystery Thriller', 'Law', 'Adult Fiction']",Audio,,Random House Audio,October 25th 2011,[],64275,"['14854', '27176', '18148', '3411', '686']",94.0,"['Chicago, Illinois (United States)']",2011.0,John Grisham,6870.0,16.71
The Little Prince,,4.31,English,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Young Adult', 'Philosophy', 'Literature', 'French Literature', 'Middle Grade']",Paperback,93,"Harcourt, Inc.",06/29/00,['Retro Hugo Award for Best Novella (2019)'],1363048,"['765471', '352384', '170246', '50086', '24861']",95.0,[],,Antoine de Saint-Exupery,,
The Longest Ride,,4.15,English,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Audiobook', 'Adult Fiction', 'Contemporary Romance', 'Drama', 'Realistic Fiction']",Hardcover,398,Grand Central Publishing,September 17th 2013,"['Audie Award for Romance (2014)', 'Goodreads Choice Award Nominee for Romance (2013)']",112204,"['47929', '39691', '19095', '4208', '1281']",95.0,[],2013.0,Nicholas Sparks,11311.0,22.26
The Lost Causes of Bleak Creek,,3.7,English,"['Horror', 'Fiction', 'Mystery', 'Thriller', 'Young Adult', 'Fantasy', 'Mystery Thriller', 'Audiobook', 'Humor', 'Adult']",Hardcover,326,Crown,October 29th 2019,['Goodreads Choice Award Nominee for Horror (2019)'],9582,"['2957', '3112', '1897', '905', '711']",83.0,['North Carolina (United States)'],,Rhett McLaughlin,,
The Magnolia Story,,4.19,English,"['Nonfiction', 'Biography', 'Memoir', 'Audiobook', 'Autobiography', 'Biography Memoir', 'Christian', 'Adult', 'Inspirational', 'Business']",Kindle Edition,208,Thomas Nelson,October 18th 2016,[],82243,"['39383', '26476', '11133', '2957', '2294']",94.0,[],2016.0,Chip Gaines,8634.0,13.46
The Martian,The Martian #1,4.4,English,"['Science Fiction', 'Fiction', 'Audiobook', 'Adventure', 'Space', 'Adult', 'Science Fiction Fantasy', 'Thriller', 'Humor', 'Survival']",Hardcover,384,Crown,02/11/14,"['Kurd-Laßwitz-Preis for Bestes ausländisches Werk (2015)', 'John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2015)', 'ITW Thriller Award Nominee for Best First Novel (2015)', 'Audie Award for Science Fiction (2015)', 'ALA Alex Award (2015)', 'Premio Ignotus for Mejor novela extranjera (Best Foreign Novel) (2015)', '本屋大賞 Nominee for Translated Fiction (2015)', 'Goodreads Choice Award for Science Fiction & Nominee for Debut Goodreads Author (2014) and Nominee for Best of the Best  (2018)', 'Green Mountain Book Award Nominee (2016)', 'Seiun Award 星雲賞 for Best Foreign Novel (2015)']",817411,"['458260', '260529', '74433', '16902', '7287']",97.0,"['Mars', 'Houston, Texas (United States)']",2015.0,Andy Weir,41268.0,0.94
The Miniaturist,,3.6,English,"['Historical Fiction', 'Fiction', 'Historical', 'Mystery', 'Fantasy', 'Magical Realism', 'Adult', 'Adult Fiction', 'Audiobook', '17th Century']",Hardcover,400,Ecco Press,August 26th 2014,"['Specsavers National Book Award for Books Are My Bag New Writer of the Year (2014)', 'Walter Scott Prize Nominee (2015)', 'Goodreads Choice Award Nominee for Historical Fiction (2014)', 'Waterstones Book of the Year (2014)']",114904,"['22551', '42439', '35113', '10989', '3812']",87.0,['Amsterdam (Netherlands)'],,Jessie Burton,,
The Most Magnificent Thing,,4.32,English,"['Picture Books', 'Childrens', 'Fiction', 'Growth Mindset', 'Realistic Fiction', 'Dogs', 'Storytime', 'Engineering', 'Kids', 'Animals']",Hardcover,44,Kids Can Press,April 1st 2014,"['OLA Forest of Reading Blue Spruce Award Nominee (2015)', 'Shining Willow Award Nominee (2015)', 'Christie Harris Illustrated Children’s Literature Prize Nominee (2015)', 'NCTE Charlotte Huck Award Nominee (2015)']",5947,"['2940', '2135', '721', '111', '40']",97.0,[],,Ashley Spires,,
The Name of the Wind,The Kingkiller Chronicle #1,4.53,English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Magic', 'Science Fiction Fantasy', 'Adult', 'Adventure', 'Audiobook', 'Epic']",Hardcover,662,Penguin Group DAW,04/28/07,"['Locus Award Nominee for Best First Novel and Best Fantasy Novel (2008)', 'Compton Crook Award Nominee (2008)', ""Grand Prix de l'Imaginaire Nominee for Roman étranger and Traduction (2010)"", 'ALA Alex Award (2008)', 'The Quill Award for Science Fiction/Fantasy/Horror (2007)', 'Sakura Medal for High School Book (2009)', 'Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2010)', 'Tähtifantasia Award Nominee (2011)']",715936,"['490359', '150879', '47830', '15610', '11258']",96.0,[],,Patrick Rothfuss,,
The Nightingale,,4.57,English,"['Historical Fiction', 'Fiction', 'Historical', 'World War II', 'War', 'Audiobook', 'Adult', 'France', 'Adult Fiction', 'Romance']",Hardcover,440,St. Martin's Press,02/03/15,"['Audie Award for Fiction (2016)', 'Goodreads Choice Award for Historical Fiction (2015) and Nominee for Best of the Best  (2018)', 'International Dublin Literary Award Nominee (2017)']",697799,"['478549', '162598', '40635', '10226', '5791']",98.0,"['Paris (France)', 'Loire Valley (France)', 'Pyrenees', 'Oregon Coast (United States)', 'Carriveau (France)', 'Portland, Oregon (United States)', 'Ravensbrück (Germany)', 'Paris (France)']",,Kristin Hannah,,
The Omnivore's Dilemma: A Natural History of Four Meals,,4.17,English,"['Nonfiction', 'Food', 'Science', 'Health', 'History', 'Nutrition', 'Environment', 'Cooking', 'Audiobook', 'Politics']",Hardcover,450,The Penguin Press,10/28/06,"['California Book Award for Nonfiction (Gold) (2006)', 'Orion Book Award Nominee (2007)', 'National Book Critics Circle Award Nominee for General Nonfiction (2006)']",182235,"['76966', '70543', '26440', '5787', '2499']",95.0,[],2010.0,Michael Pollan,2534.0,0.94
The One and Only Ivan,The One and Only Ivan #1,4.25,English,"['Middle Grade', 'Fiction', 'Animals', 'Childrens', 'Young Adult', 'Fantasy', 'Juvenile', 'Audiobook', 'Realistic Fiction', 'Chapter Books']",Hardcover,307,HarperCollins,January 17th 2012,"['Newbery Medal (2013)', 'California Book Award for Juvenile (Gold) (2012)', ""Pennsylvania Young Readers' Choice Award for Grades 3-6 (2014)"", ""Dorothy Canfield Fisher Children's Book Award Nominee (2014)"", ""Charlie May Simon Children's Book Award Nominee (2015)"", 'Bluestem Book Award (2015)', ""Goodreads Choice Award Nominee for Middle Grade & Children's (2012)"", 'SCBWI Crystal Kite Member Choice Award for California/Hawaii (2013)', 'Oklahoma Sequoyah Award for Children (2015)', ""Rebecca Caudill Young Readers' Book Award Nominee (2015)""]",140986,"['73602', '41450', '16858', '5095', '3981']",94.0,[],,Katherine Applegate,,
The Outsiders,,4.1,English,"['Classics', 'Young Adult', 'Fiction', 'School', 'Realistic Fiction', 'Read For School', 'Coming Of Age', 'Historical Fiction', 'Contemporary', 'Teen']",Mass Market Paperback,192,Puffin Books (US/CAN),09/01/97,"['Books I Loved Best Yearly (BILBY) Awards for Secondary  (1991)', 'Margaret A. Edwards Award (1988)']",938150,"['396850', '309135', '173456', '44305', '14404']",94.0,"['Tulsa, Oklahoma (United States)']",2016.0,S. E. Hinton,14743.0,5.89
The Overstory,,4.13,English,"['Fiction', 'Nature', 'Literary Fiction', 'Environment', 'Contemporary', 'Novels', 'Historical Fiction', 'Literature', 'Book Club', 'Audiobook']",Paperback,502,W.W. Norton & Company,April 2nd 2019,"['Booker Prize Nominee (2018)', 'Pulitzer Prize for Fiction (2019)', 'PEN/Faulkner Award for Fiction Nominee (2019)', 'William Dean Howells Medal (2020)', 'Goodreads Choice Award Nominee for Fiction (2018)', 'PEN/Jean Stein Book Award Nominee for Shortlist (2019)']",72622,"['32529', '23534', '11554', '3583', '1422']",93.0,[],,Richard Powers,,
The Perks of Being a Wallflower,,4.2,English,"['Young Adult', 'Fiction', 'Contemporary', 'Coming Of Age', 'Romance', 'Realistic Fiction', 'LGBT', 'Classics', 'Mental Health', 'Teen']",Paperback,213,MTV Books/Pocket Books,02/28/99,[],1250155,"['599617', '392068', '188162', '50631', '19677']",94.0,"['Pittsburgh, Pennsylvania (United States)']",2013.0,Stephen Chbosky,13820.0,0.94
The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West,,3.76,English,"['History', 'Nonfiction', 'American History', 'Audiobook', 'Historical', 'Biography', 'Adventure', 'Westerns', 'Adult', '19th Century']",Kindle Edition,352,Simon & Schuster,May 7th 2019,['Goodreads Choice Award Nominee for History & Biography (2019)'],13749,"['3197', '5491', '3949', '828', '284']",92.0,"['Ohio (United States)', 'Indiana (United States)', 'Michigan (United States)', 'Illinois (United States)', 'Wisconsin (United States)']",2019.0,David McCullough,4192.0,18.93
The Power of Habit: Why We Do What We Do in Life and Business,,4.1,English,"['Nonfiction', 'Psychology', 'Self Help', 'Business', 'Personal Development', 'Productivity', 'Science', 'Audiobook', 'Leadership', 'Sociology']",Hardcover,375,Random House,February 28th 2012,"['Financial Times and McKinsey Business Book of the Year Nominee for Longlist (2012)', 'Goodreads Choice Award Nominee for Nonfiction (2012)']",343452,"['137742', '128611', '58483', '12468', '6148']",95.0,[],2012.0,Charles Duhigg,13109.0,19.47
The Prince,The Original Sinners #3,4.46,English,"['BDSM', 'Erotica', 'Romance', 'Dark', 'Adult', 'Contemporary', 'M M Romance', 'Contemporary Romance', 'Erotic Romance', 'Fiction']",Paperback,407,Mira Books,November 20th 2012,[],12418,"['7724', '3252', '1058', '245', '139']",97.0,[],,Niccolo Machiavelli,,
The Racketeer,,3.83,English,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Legal Thriller', 'Suspense', 'Mystery Thriller', 'Audiobook', 'Novels', 'Drama']",Hardcover,340,Doubleday,October 23rd 2012,[],88545,"['22552', '36329', '23026', '5250', '1388']",93.0,"['Roanoke, Virginia (United States)', 'Frostburg, Maryland (United States)', 'Florida (United States)', 'Antigua (Antigua and Barbuda)']",2012.0,John Grisham,15885.0,22.17
The Raven Boys,The Raven Cycle #1,4.05,English,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Fiction', 'Magic', 'Urban Fantasy', 'Audiobook', 'Supernatural', 'Young Adult Fantasy']",Hardcover,409,Scholastic Press,09/18/12,"['Bram Stoker Award Nominee for Best Young Adult Novel (2012)', 'Mythopoeic Fantasy Award Nominee for Adult Literature (2017)', 'Rhode Island Teen Book Award Nominee (2015)', 'Milwaukee County Teen Book Award Nominee (2014)', 'The Inky Awards for Silver Inky (2013)', 'Lincoln Award Nominee (2015)', 'Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012)', 'Carnegie Medal Nominee (2014)', 'The Inky Awards Shortlist for Silver Inky (2013)', 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2013)']",269946,"['107672', '96096', '45253', '13393', '7532']",92.0,"['Henrietta, Virginia (United States)']",,Maggie Stiefvater,,
The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,,3.82,English,"['Nonfiction', 'Memoir', 'Psychology', 'Biography', 'Biography Memoir', 'Japan', 'Autobiography', 'Mental Health', 'Education', 'Japanese Literature']",Hardcover,135,Random House,August 27th 2013,['Goodreads Choice Award Nominee for Memoir & Autobiography (2013)'],42665,"['12535', '15186', '10776', '3053', '1115']",90.0,[],2013.0,Naoki Higashida,4716.0,15.26
The Road Back to You: An Enneagram Journey to Self-Discovery,,4.26,English,"['Nonfiction', 'Self Help', 'Psychology', 'Christian', 'Personal Development', 'Spirituality', 'Audiobook', 'Faith', 'Religion', 'Leadership']",Hardcover,238,IVP Books,October 4th 2016,[],29065,"['13530', '10953', '3495', '670', '417']",96.0,[],2019.0,Ian Morgan Cron,5900.0,14.35
The Road to Character,,3.67,English,"['Nonfiction', 'Philosophy', 'Psychology', 'Self Help', 'Biography', 'Leadership', 'Personal Development', 'History', 'Business', 'Audiobook']",Hardcover,320,Random House,April 14th 2015,['Goodreads Choice Award Nominee for Nonfiction (2015)'],19347,"['4941', '6459', '5286', '1888', '773']",86.0,[],2015.0,David Brooks,2373.0,0.99
The Rooster Bar,,3.62,English,"['Fiction', 'Mystery', 'Thriller', 'Audiobook', 'Legal Thriller', 'Crime', 'Suspense', 'Mystery Thriller', 'Contemporary', 'Law']",Hardcover,368,Doubleday,October 24th 2017,[],74510,"['16897', '25184', '22372', '7355', '2702']",87.0,[],2017.0,John Grisham,10093.0,1.15
The Secret,Highlands' Lairds #1,4.26,English,"['Historical Romance', 'Romance', 'Historical', 'Historical Fiction', 'Medieval', 'Scotland', 'Adult', 'Fiction', 'Medieval Romance', 'Humor']",Mass Market Paperback,379,Pocket Books,May 1st 1992,['RITA Award by Romance Writers of America Nominee for Single Title Historical Romance (1993)'],43457,"['21186', '14330', '6382', '1150', '409']",96.0,['Scottish Highlands'],,Rhonda Byrne,,
The Secrets We Kept,,3.69,English,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'Russia', 'Adult', 'Adult Fiction', 'Thriller', 'Books About Books', 'Espionage']",Kindle Edition,368,Knopf,September 17th 2019,"['Edgar Award Nominee for Best First Novel (2020)', 'Goodreads Choice Award Nominee for Debut Novel (2019)']",40746,"['7341', '17428', '12657', '2671', '649']",92.0,[],,Lara Prescott,,
The Seven Husbands of Evelyn Hugo,,4.35,English,"['Historical Fiction', 'Fiction', 'Romance', 'Contemporary', 'LGBT', 'Adult', 'Audiobook', 'Historical', 'Adult Fiction', 'Chick Lit']",Hardcover,391,Atria Books,June 13th 2017,"['Goodreads Choice Award Nominee for Historical Fiction (2017)', 'Book of the Month Book of the Year Award Nominee (2017)']",222152,"['115856', '76708', '23255', '4755', '1578']",97.0,"['Upper East Side, Manhattan, New York (United States)']",,TAYLOR JENKINS REID,,
The Seven Sisters,The Seven Sisters #1,4.18,English,"['Historical Fiction', 'Fiction', 'Romance', 'Historical', 'Mystery', 'Contemporary', 'Audiobook', 'Chick Lit', 'Roman', 'Adult']",Hardcover,460,Atria Books,May 5th 2015,[],41034,"['17813', '15207', '6070', '1420', '524']",95.0,"['Rio de Janeiro (Brazil)', 'Genève']",,Lucinda Riley,,
The Shining,The Shining #1,4.23,English,"['Horror', 'Fiction', 'Thriller', 'Classics', 'Fantasy', 'Mystery', 'Paranormal', 'Suspense', 'Novels', 'Adult']",Paperback,659,New English Library (Hodder & Stoughton),07/01/80,"['Locus Award Nominee for Best Fantasy Novel (1978)', 'Gandalf Award Nominee (1978)']",1126760,"['549840', '366682', '152167', '35398', '22673']",95.0,['Colorado (United States)'],,Stephen King,,
The Silent Patient,,4.09,English,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Crime', 'Adult', 'Psychological Thriller', 'Contemporary']",Hardcover,325,Celadon Books,February 5th 2019,['Goodreads Choice Award for Mystery & Thriller and Nominee for Debut Novel (2019)'],507237,"['192006', '202843', '86249', '19365', '6774']",95.0,"['London, England']",,Alex Michaelides,,
"The Social Animal: The Hidden Sources of Love, Character, and Achievement",,3.86,English,"['Nonfiction', 'Psychology', 'Sociology', 'Science', 'Philosophy', 'Self Help', 'Social Science', 'Audiobook', 'Politics', 'Business']",Hardcover,424,Random House,March 8th 2011,"['Andrew Carnegie Medal Nominee for Nonfiction (2012)', 'Goodreads Choice Award Nominee for Nonfiction (2011)']",21213,"['6542', '7674', '4971', '1512', '514']",90.0,[],2011.0,David Brooks,684.0,21.53
The Song of Achilles,,4.35,English,"['Historical Fiction', 'Fantasy', 'Fiction', 'Mythology', 'LGBT', 'Romance', 'Historical', 'Retellings', 'Audiobook', 'Adult']",Hardcover,352,Bloomsbury Publishing,09/20/11,"['Orange Prize for Fiction (2012)', 'Gaylactic Spectrum Award for Best Novel (2013)', 'Chautauqua Prize Nominee (2013)']",228034,"['125693', '69012', '24269', '5979', '3081']",96.0,"['Troy', 'Pthia (Greece)']",,Madeline Miller,,
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",,4.23,,"['History', 'Nonfiction', 'Biography', 'World War II', 'War', 'Audiobook', 'Historical', 'Politics', 'British Literature', 'Biography Memoir']",Kindle Edition,464,Crown,February 25th 2020,[],42480,"['19726', '15837', '4884', '1205', '828']",95.0,"['Buckinghamshire, England (United Kingdom)', 'Oxfordshire, England', 'London, England']",2020.0,Erik Larson,11733.0,14.77
The Starless Sea,,3.85,English,"['Fantasy', 'Fiction', 'Adult', 'Magical Realism', 'Audiobook', 'LGBT', 'Romance', 'Books About Books', 'Adult Fiction', 'Magic']",Hardcover,498,Doubleday Books,November 5th 2019,"['Locus Award Nominee for Best Fantasy Novel (2020)', 'Goodreads Choice Award Nominee for Fantasy (2019)', 'Dragon Award for Best Fantasy Novel (2020)']",89092,"['32587', '26085', '18410', '8850', '3160']",87.0,"['New England (United States)', 'Manhattan, New York City, New York (United States)']",,Erin Morgenstern,,
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,,3.94,English,"['Nonfiction', 'Self Help', 'Psychology', 'Audiobook', 'Personal Development', 'Philosophy', 'Business', 'Humor', 'Adult', 'Unfinished']",ebook,224,Harper,September 13th 2016,[],529645,"['193399', '178900', '105988', '34536', '16822']",90.0,[],2020.0,Mark Manson,37407.0,15.8
The Sun and Her Flowers,,4.16,English,"['Poetry', 'Feminism', 'Nonfiction', 'Adult', 'Contemporary', 'Romance', 'Mental Health', 'Canada', 'Womens', 'Love']",Paperback,256,Andrews McMeel Publishing,October 3rd 2017,['Goodreads Choice Award for Poetry (2017)'],142061,"['68045', '42037', '21739', '6642', '3598']",93.0,[],,Rupi Kaur,,
The Tales of Beedle the Bard,Hogwarts Library,4.06,English,"['Fantasy', 'Fiction', 'Young Adult', 'Short Stories', 'Childrens', 'Magic', 'Middle Grade', 'Fairy Tales', 'Science Fiction Fantasy', 'Audiobook']",Hardcover,109,Bloomsbury,12/04/08,['Locus Award Nominee for Art Book (2019)'],406565,"['162586', '134167', '86414', '18664', '4734']",94.0,['United Kingdom'],,J. K. Rowling,,
The Tattooist of Auschwitz,The Tattooist of Auschwitz #1,4.25,English,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'World War II', 'Holocaust', 'War', 'Romance', 'Adult', 'Adult Fiction']",Hardcover,262,Harper,September 4th 2018,"['Audie Award for Fiction (2019)', 'Goodreads Choice Award Nominee for Historical Fiction and for Debut Author (2018)']",464207,"['227273', '155594', '60039', '14908', '6393']",95.0,"['Krompachy (Slovakia)', 'Oświęcim (Auschwitz) (Poland)']",,Heather Morris,,
