title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated,Price
Normal People,,3.86,English,"['Fiction', 'Contemporary', 'Romance', 'Literary Fiction', 'Ireland', 'Audiobook', 'Adult', 'Novels', 'Adult Fiction', 'Irish Literature']",Hardcover,273,Hogarth Press,April 16th 2019,"['Booker Prize Nominee for Longlist (2018)', 'Costa Book Award for Novel (2018)', 'Dylan Thomas Prize Nominee for Longlist (2019)', ""Women's Prize for Fiction Nominee for Longlist (2019)"", 'Goodreads Choice Award Nominee for Fiction (2019)', 'The Rooster -- The Morning News Tournament of Books (2020)']",405001,"['123183', '150663', '91765', '29565', '9825']",90.0,['Ireland'],,Sally Rooney,,
Norse Mythology,,4.08,English,"['Fantasy', 'Mythology', 'Fiction', 'Audiobook', 'Short Stories', 'Classics', 'Adult', 'Historical Fiction', 'Retellings', 'Religion']",Paperback,301,W. W. Norton & Company,March 6th 2018,['Goodreads Choice Award Nominee for Fantasy (2017)'],214833,"['77206', '90549', '37767', '6564', '2747']",96.0,[],2017.0,Neil Gaiman,8355.0,20.23
Northern Lights,,4.01,English,"['Romance', 'Romantic Suspense', 'Mystery', 'Fiction', 'Contemporary Romance', 'Contemporary', 'Suspense', 'Chick Lit', 'Thriller', 'Crime']",Mass Market Paperback,637,Jove,September 27th 2005,[],39967,"['14008', '14730', '9127', '1724', '378']",95.0,"['Lunacy, Alaska (United States)']",,Philip Pullman,,
Of Mice and Men,,3.88,English,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels', 'High School', 'American', 'Classic Literature']",Paperback,103,Penguin Books,01/08/02,"[""New York Drama Critics' Circle Award for Best American Play (1938)""]",1942168,"['634457', '681382', '437709', '132901', '55719']",90.0,"['Salinas Valley, California (United States)', 'California (United States)']",2014.0,John Steinbeck,13001.0,0.35
"Oh, the Places You'll Go!",,4.35,English,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Young Adult', 'Inspirational', 'Kids', 'Humor']",Hardcover,44,Random House Books for Young Readers,01/22/90,[],328451,"['194372', '77411', '40683', '10548', '5437']",95.0,[],2016.0,Dr. Seuss,16868.0,8.98
Olive Kitteridge,Olive Kitteridge #1,3.83,English,"['Fiction', 'Short Stories', 'Literary Fiction', 'Contemporary', 'Book Club', 'Adult Fiction', 'Adult', 'Novels', 'Literature', 'Audiobook']",Hardcover,270,Random House,March 25th 2008,"['Pulitzer Prize for Fiction (2009)', 'Premio Bancarella (2010)', 'National Book Critics Circle Award Nominee for Fiction (2008)', 'Premi Llibreter de narrativa for Altres literatures (2010)']",171636,"['48905', '65513', '40548', '12471', '4199']",90.0,"['Crosby, Maine (United States)', 'Maine (United States)']",,Elizabeth Strout,,
On Earth We're Briefly Gorgeous,,4.05,English,"['Fiction', 'Poetry', 'LGBT', 'Contemporary', 'Literary Fiction', 'Queer', 'Novels', 'Adult', 'Audiobook', 'Adult Fiction']",Hardcover,246,Penguin Press,June 4th 2019,"['National Book Award Nominee for Fiction (2019)', 'PEN/Hemingway Foundation Award Nominee for Longlist (2020)', 'The Center for Fiction First Novel Prize Nominee (0)', 'Kirkus Prize Nominee for Fiction (2019)', 'Goodreads Choice Award Nominee for Fiction and for Debut Novel (2019)']",70134,"['26968', '25186', '13268', '3613', '1099']",93.0,[],,Ocean Vuong,,
On the Night You Were Born,,4.36,English,"['Picture Books', 'Childrens', 'Fiction', 'Animals', 'Family', 'Poetry', 'Love', 'Kids', 'Inspirational', 'Art']",Hardcover,32,Feiwel & Friends,October 17th 2006,[],14667,"['8715', '3386', '1853', '527', '186']",95.0,[],,Nancy Tillman,,
Once,Eve #2,3.9,English,"['Dystopia', 'Young Adult', 'Romance', 'Science Fiction', 'Post Apocalyptic', 'Fantasy', 'Fiction', 'Adventure', 'Teen', 'Audiobook']",Hardcover,354,HarperCollins,July 3rd 2012,[],18821,"['6073', '6577', '4646', '1185', '340']",92.0,"['Sausalito, California (United States)', 'Las Vegas, Nevada (United States)']",,Morris Gleitzman,,
One Day in December,,3.95,English,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Christmas', 'Audiobook', 'Adult', 'Contemporary Romance', 'Adult Fiction', 'Holiday']",Paperback,393,Ballantine Books,October 16th 2018,[],146779,"['45661', '60101', '31028', '7383', '2606']",93.0,"['London, England']",,Josie Silver,,
One Thousand Gifts: A Dare to Live Fully Right Where You Are,,4.02,English,"['Christian', 'Nonfiction', 'Faith', 'Christian Living', 'Spirituality', 'Christianity', 'Inspirational', 'Self Help', 'Religion', 'Christian Non Fiction']",Hardcover,232,Zondervan,January 26th 2011,[],47547,"['21798', '12430', '7821', '3277', '2221']",88.0,[],2012.0,Ann Voskamp,3578.0,13.21
Orphan Train,,4.17,English,"['Historical Fiction', 'Fiction', 'Historical', 'Book Club', 'Adult Fiction', 'Adult', 'Young Adult', 'Audiobook', 'Adoption', 'Contemporary']",Paperback,278,William Morrow Paperbacks,April 2nd 2013,"['Lincoln Award Nominee (2016)', 'Maine Literary Award Nominee for Fiction (Finalist) (2014)', 'Goodreads Choice Award Nominee for Fiction (2013)', 'RT Reviewers Choice Award for Mainstream Fiction (2013)']",372839,"['145679', '159626', '56072', '8882', '2580']",97.0,['Maine (United States)'],2014.0,Christina Baker Kline,22582.0,11.78
