title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated
Snow Falling,Missing,3.37,English,"['Romance', 'Historical Fiction', 'Fiction', 'Adult', 'Historical', 'Chick Lit', 'Adult Fiction', 'Contemporary', 'Audiobook', 'Tv']",Paperback,240,Adams Media,2017,"['466', '549', '757', '378', '129']",78,Missing,Missing,Jane Gloriana Villanueva,Missing
Go the F**k to Sleep,Missing,4.27,English,"['Humor', 'Fiction', 'Picture Books', 'Childrens', 'Comedy', 'Audiobook', 'Parenting', 'Poetry', 'Adult', 'Short Stories']",Kindle Edition,17,Akashic Books,2011,"['45520', '22520', '11530', '2977', '1767']",94,Missing,2011,Adam Mansbach,12832
Legacy,Keeper of the Lost Cities #8,4.53,English,"['Fantasy', 'Middle Grade', 'Young Adult', 'Adventure', 'Fiction', 'Romance', 'Childrens', 'Young Adult Fantasy', 'Audiobook', 'Urban Fantasy']",Kindle Edition,797,Aladdin,2019,"['5049', '1518', '594', '149', '86']",97,Missing,Missing,James Kerr,Missing
Cutting for Stone,Missing,4.29,English,"['Fiction', 'Historical Fiction', 'Africa', 'Book Club', 'Medicine', 'Ethiopia', 'Medical', 'Novels', 'Literary Fiction', 'Historical']",Hardcover,541,Alfred A. Knopf,2009,"['175794', '106563', '38090', '10912', '5530']",95,"['Addis Ababa (Ethiopia)', 'Madras (India)', 'Kochi (India)', 'Aden (Yemen)', 'Djibouti', 'Asmara (Eritrea)', 'Khartoum (Sudan)', 'Nairobi (Kenya)', 'New York City, New York (United States)', 'Boston, Massachusetts (United States)', 'Rome (Italy)']",2010,Abraham Verghese,5286
The Book Thief,Missing,4.37,English,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'Holocaust', 'World War II', 'Books About Books', 'Audiobook']",Hardcover,552,Alfred A. Knopf,2006,"['1048230', '524674', '186297', '48864', '26211']",96,"['Molching (Germany)', 'Germany']",2010,Markus Zusak,25974
Wonder,Wonder #1,4.44,English,"['Young Adult', 'Fiction', 'Middle Grade', 'Contemporary', 'Realistic Fiction', 'Childrens', 'School', 'Family', 'Coming Of Age', 'Juvenile']",Hardcover,315,Alfred A. Knopf,2012,"['441112', '202834', '65871', '15235', '8434']",97,"['Upper Manhattan, New York (United States)', 'New York City, New York (United States)', 'United States of America', 'New York State (United States)']",2012,R. J. Palacio,26081
The Girl Who Drank the Moon,Missing,4.1,English,"['Fantasy', 'Middle Grade', 'Fiction', 'Young Adult', 'Childrens', 'Magic', 'Audiobook', 'Dragons', 'Witches', 'Juvenile']",Hardcover,388,Algonquin Young Readers,2016,"['22612', '19543', '8701', '2388', '1157']",93,Missing,Missing,Kelly Barnhill,Missing
The Help,Missing,4.47,English,"['Fiction', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Audiobook', 'Classics', 'Chick Lit', 'Book Club']",Hardcover,451,Amy Einhorn Books/G.P. Putnam's Sons,2009,"['1300564', '636115', '176679', '34643', '16010']",98,"['Jackson, Mississippi (United States)', 'Jackson, Mississippi (United States)', 'Mississippi (United States)']",2010,Kathryn Stockett,14772
The Handmaid's Tale,The Handmaid's Tale #1,4.11,English,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult', 'Audiobook', 'Literature', 'Novels']",Paperback,314,Anchor Books,1998,"['616810', '517007', '227994', '64441', '32993']",93,"['Cambridge, Massachusetts (United States)', 'Republic of Gilead']",2017,Margaret Atwood,37046
Pillow Thoughts,Pillow Thoughts #1,3.83,English,"['Poetry', 'LGBT', 'Nonfiction', 'Romance', 'Contemporary', 'Adult', 'Audiobook', 'Love', 'Mental Health', 'Self Help']",Paperback,272,Andrews McMeel Publishing,2017,"['5170', '4132', '3370', '1278', '561']",87,Missing,Missing,Courtney Peppernell,Missing
The Sun and Her Flowers,Missing,4.16,English,"['Poetry', 'Feminism', 'Nonfiction', 'Adult', 'Contemporary', 'Romance', 'Mental Health', 'Canada', 'Womens', 'Love']",Paperback,256,Andrews McMeel Publishing,2017,"['68045', '42037', '21739', '6642', '3598']",93,Missing,2017,Rupi Kaur,8177
Against All Odds,Against #1,3.92,English,"['Romance', 'New Adult', 'Contemporary Romance', 'Contemporary', 'Adult', 'Marriage', 'Dark', 'Drama', 'Love', 'Erotica']",Kindle Edition,323,Angie McKeon,2014,"['1010', '905', '486', '181', '130']",89,Missing,Missing,Craig Challen,Missing
Fantastic Beasts and Where to Find Them,Hogwarts Library,3.98,English,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade', 'Short Stories', 'Science Fiction Fantasy', 'Dragons']",Hardcover,128,Arthur A. Levine Books / Scholastic Inc.,2001,"['127539', '100157', '77221', '19657', '5520']",92,Missing,Missing,J. K. Rowling,Missing
Harry Potter and the Chamber of Secrets,Harry Potter #2,4.43,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Middle Grade', 'Adventure', 'Audiobook', 'Classics', 'Science Fiction Fantasy']",Hardcover,341,Arthur A. Levine Books / Scholastic Inc.,1999,"['1608855', '748165', '302543', '52312', '13972']",98,"['Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)']",Missing,J. K. Rowling,Missing
Harry Potter and the Deathly Hallows,Harry Potter #7,4.62,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",Hardcover,759,Arthur A. Levine Books / Scholastic Inc.,2007,"['2038930', '552014', '161906', '35042', '23745']",98,"['London, England', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Pagford (United Kingdom)']",Missing,J. K. Rowling,Missing
Out of My Mind,Missing,4.37,English,"['Realistic Fiction', 'Young Adult', 'Fiction', 'Middle Grade', 'Contemporary', 'Childrens', 'Disability', 'School', 'Juvenile', 'Family']",Hardcover,295,Atheneum Books for Young Readers,2010,"['61258', '34129', '12199', '2392', '921']",97,['Ohio (United States)'],Missing,Sharon M. Draper,Missing
Call Me By Your Name,Call Me By Your Name #1,4.23,English,"['Fiction', 'Romance', 'LGBT', 'Contemporary', 'Queer', 'Audiobook', 'Adult', 'Gay', 'Coming Of Age', 'M M Romance']",Paperback,248,Atlantic Books,2017,"['107822', '61594', '27353', '9154', '4486']",94,"['Italy', 'Italian Riviera (Italy)', 'Liguria (Italy)']",Missing,Andre Aciman,Missing
A Man Called Ove,Missing,4.36,English,"['Fiction', 'Contemporary', 'Audiobook', 'Humor', 'Book Club', 'Adult', 'Adult Fiction', 'Sweden', 'Novels', 'Realistic Fiction']",Hardcover,337,Atria Books,2014,"['307546', '181844', '59433', '14057', '5878']",96,['Sweden'],Missing,Fredrik Backman,Missing
The Secret,The Secret #1,3.68,English,"['Self Help', 'Nonfiction', 'Spirituality', 'Psychology', 'Philosophy', 'Personal Development', 'Inspirational', 'Audiobook', 'New Age', 'Business']",Hardcover,199,Atria Books,2006,"['124933', '85630', '73558', '34434', '30889']",81,Missing,Missing,Rhonda Byrne,Missing
The Seven Husbands of Evelyn Hugo,Missing,4.35,English,"['Historical Fiction', 'Fiction', 'Romance', 'Contemporary', 'LGBT', 'Adult', 'Audiobook', 'Historical', 'Adult Fiction', 'Chick Lit']",Hardcover,391,Atria Books,2017,"['115856', '76708', '23255', '4755', '1578']",97,"['Upper East Side, Manhattan, New York (United States)']",Missing,TAYLOR JENKINS REID,Missing
The Seven Sisters,The Seven Sisters #1,4.18,English,"['Historical Fiction', 'Fiction', 'Romance', 'Historical', 'Mystery', 'Contemporary', 'Audiobook', 'Chick Lit', 'Roman', 'Adult']",Hardcover,460,Atria Books,2015,"['17813', '15207', '6070', '1420', '524']",95,"['Rio de Janeiro (Brazil)', 'Genève']",Missing,Lucinda Riley,Missing
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,Missing,4.34,English,"['Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Productivity', 'Audiobook', 'Business', 'Leadership', 'Health', 'Science']",Kindle Edition,319,Avery,2018,"['66905', '41442', '13018', '2646', '1744']",97,Missing,2019,James Clear,21640
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Missing,4.26,English,"['Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Audiobook', 'Leadership', 'Parenting', 'Business', 'Spirituality', 'Relationships']",Hardcover,287,Avery,2012,"['65196', '41857', '16176', '4238', '2181']",95,Missing,2013,Brené Brown,1639
The Catcher in the Rye,Missing,3.81,English,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Novels', 'Coming Of Age', 'American', 'High School', 'Read For School']",Paperback,277,Back Bay Books,2001,"['937208', '846027', '579292', '234980', '139016']",86,"['New York City, New York (United States)', 'Agerstown, Pennsylvania (United States)']",2010,J. D. Salinger,14641
The Tipping Point: How Little Things Can Make a Big Difference,Missing,3.97,English,"['Nonfiction', 'Business', 'Psychology', 'Sociology', 'Science', 'Self Help', 'Economics', 'Audiobook', 'Leadership', 'Philosophy']",Paperback,301,Back Bay Books,2002,"['245885', '254161', '136187', '33268', '20275']",92,Missing,2010,Malcolm Gladwell,3965
Before We Were Yours,Missing,4.37,English,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'Book Club', 'Adult', 'Adult Fiction', 'Family', 'Adoption', 'Contemporary']",Hardcover,342,Ballantine Books,2017,"['196193', '134526', '36157', '6289', '2865']",98,"['Memphis, Tennessee (United States)', 'South Carolina (United States)']",Missing,Lisa Wingate,Missing
Hotel on the Corner of Bitter and Sweet,Missing,04.02,English,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'World War II', 'Book Club', 'Adult Fiction', 'War', 'Adult', 'Audiobook']",Hardcover,290,Ballantine Books,2009,"['87460', '109281', '52410', '10819', '2907']",95,"['Seattle, Washington (United States)', 'Puyallup, Washington (United States)', 'Minidoka, Idaho (United States)', 'Washington (state) (United States)']",2010,Jamie Ford,4464
One Day in December,Missing,3.95,English,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Christmas', 'Audiobook', 'Adult', 'Contemporary Romance', 'Adult Fiction', 'Holiday']",Paperback,393,Ballantine Books,2018,"['45661', '60101', '31028', '7383', '2606']",93,"['London, England']",Missing,Josie Silver,Missing
The Hate U Give,The Hate U Give #1,4.52,English,"['Young Adult', 'Fiction', 'Contemporary', 'Audiobook', 'Realistic Fiction', 'Race', 'Social Justice', 'Teen', 'Young Adult Contemporary', 'African American']",Hardcover,444,Balzer + Bray,2017,"['319950', '139056', '34099', '6668', '3901']",98,"['United States of America', 'Garden Heights']",2018,Angie Thomas,14315
The Definitive Book of Body Language,Missing,3.98,English,"['Psychology', 'Nonfiction', 'Self Help', 'Communication', 'Business', 'Science', 'Personal Development', 'Reference', 'Sociology', 'Social']",Hardcover,400,Bantam Books,2006,"['7794', '8271', '4750', '1109', '402']",93,Missing,Missing,Allan Pease,Missing
The Diary of a Young Girl,Missing,4.15,English,"['Nonfiction', 'Classics', 'History', 'Biography', 'Memoir', 'Historical', 'Holocaust', 'Autobiography', 'War', 'World War II']",Mass Market Paperback,283,Bantam Books,1993,"['1266466', '859538', '438340', '112847', '63943']",94,['Amsterdam (Netherlands)'],Missing,Anne Frank,Missing
The Grand Design,Missing,04.04,English,"['Science', 'Nonfiction', 'Physics', 'Philosophy', 'Popular Science', 'Astronomy', 'Audiobook', 'Religion', 'History', 'Space']",Hardcover,199,Bantam Books,2010,"['24361', '23324', '11524', '2726', '1568']",93,Missing,2010,Stephen Hawking,2006
I Know Why the Caged Bird Sings,Maya Angelou's Autobiography #1,4.24,English,"['Nonfiction', 'Classics', 'Memoir', 'Biography', 'Autobiography', 'Poetry', 'Feminism', 'African American', 'Biography Memoir', 'Race']",Paperback,289,Bantam Books,1993,"['202334', '131201', '54622', '13325', '7622']",95,"['Arkansas (United States)', 'Louisiana (United States)', 'California (United States)', 'Missouri (United States)']",Missing,Maya Angelou,Missing
Man's Search for Meaning,Missing,4.36,English,"['Nonfiction', 'Psychology', 'Philosophy', 'History', 'Memoir', 'Self Help', 'Biography', 'Classics', 'Holocaust', 'Spirituality']",Paperback,165,Beacon Press,2006,"['221757', '119918', '44536', '9508', '5042']",96,"['Auschwitz (Poland)', 'Dachau (Germany)']",2020,Viktor E. Frankl,23253
White Fragility: Why It's So Hard for White People to Talk About Racism,Missing,4.3,English,"['Nonfiction', 'Race', 'Social Justice', 'Anti Racist', 'Politics', 'Audiobook', 'Sociology', 'History', 'Psychology', 'Adult']",Paperback,169,Beacon Press,2018,"['47999', '33654', '9954', '2203', '1595']",96,Missing,2020,Robin DiAngelo,27495
Bared to You,Crossfire #1,4.18,English,"['Romance', 'Erotica', 'Contemporary', 'Adult', 'Contemporary Romance', 'Erotic Romance', 'Fiction', 'BDSM', 'New Adult', 'Chick Lit']",Paperback,334,Berkley Books,2014,"['230795', '121473', '66084', '23103', '12367']",92,"['New York City, New York (United States)']",2012,Sylvia Day,10507
Big Little Lies,Missing,4.27,English,"['Fiction', 'Mystery', 'Contemporary', 'Chick Lit', 'Audiobook', 'Adult', 'Thriller', 'Mystery Thriller', 'Adult Fiction', 'Australia']",Paperback,460,Berkley Books,2017,"['345232', '292031', '86241', '15575', '8535']",97,"['Sydney, New South Wales (Australia)']",2017,Liane Moriarty,23894
The Tales of Beedle the Bard,Hogwarts Library,04.06,English,"['Fantasy', 'Fiction', 'Young Adult', 'Short Stories', 'Childrens', 'Magic', 'Middle Grade', 'Fairy Tales', 'Science Fiction Fantasy', 'Audiobook']",Hardcover,109,Bloomsbury Publishing,2008,"['162586', '134167', '86414', '18664', '4734']",94,['United Kingdom'],Missing,J. K. Rowling,Missing
The Song of Achilles,Missing,4.35,English,"['Historical Fiction', 'Fantasy', 'Fiction', 'Mythology', 'LGBT', 'Romance', 'Historical', 'Retellings', 'Audiobook', 'Adult']",Hardcover,352,Bloomsbury Publishing,2011,"['125693', '69012', '24269', '5979', '3081']",96,"['Troy', 'Pthia (Greece)']",Missing,Madeline Miller,Missing
Gone Girl,Missing,04.08,English,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Adult', 'Adult Fiction', 'Audiobook']",Paperback,415,Broadway Books,2014,"['946037', '842507', '371665', '107375', '61562']",93,"['North Carthage, Missouri (United States)', 'Missouri (United States)']",2012,Gillian Flynn,59506
Guess How Much I Love You,Little Nutbrown Hare,4.37,English,"['Picture Books', 'Childrens', 'Fiction', 'Animals', 'Family', 'Classics', 'Love', 'Kids', 'Storytime', 'Rabbits']",Board book,20,Candlewick Press,2005,"['75058', '29625', '15798', '3828', '1810']",96,Missing,2015,Sam McBratney,4219
I Want My Hat Back,Hat Trilogy #1,4.37,English,"['Picture Books', 'Childrens', 'Humor', 'Animals', 'Fiction', 'Storytime', 'Fantasy', 'Kids', 'Canada', 'Juvenile']",Hardcover,40,Candlewick Press,2011,"['15209', '7017', '2646', '768', '472']",95,Missing,Missing,Jon Klassen,Missing
The Dot,Creatrilogy,4.2,English,"['Picture Books', 'Art', 'Childrens', 'Fiction', 'Inspirational', 'Realistic Fiction', 'School', 'Growth Mindset', 'Storytime', 'Teaching']",Hardcover,32,Candlewick Press,2003,"['14984', '6496', '3618', '1285', '1122']",91,Missing,Missing,Peter H. Reynolds,Missing
The Silent Patient,Missing,04.09,English,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Crime', 'Adult', 'Psychological Thriller', 'Contemporary']",Hardcover,325,Celadon Books,2019,"['192006', '202843', '86249', '19365', '6774']",95,"['London, England']",2019,Alex Michaelides,50122
Me,Missing,3.55,English,"['Nonfiction', 'Biography', 'Autobiography', 'Memoir', 'Music', 'LGBT', 'Audiobook', 'Queer', 'Gay', 'Biography Memoir']",Hardcover,292,Celebra,2010,"['588', '650', '716', '299', '111']",83,Missing,Missing,Elton John,Missing
There Was an Old Lady Who Swallowed a Fly,Classic Books with Holes,4.22,English,"['Picture Books', 'Childrens', 'Poetry', 'Animals', 'Fiction', 'Humor', 'Classics', 'Storytime', 'Music', 'Nursery Rhymes']",Board Book,14,Child's Play International,2000,"['15727', '6871', '5366', '1236', '452']",94,Missing,Missing,Missing,Missing
A Long Walk to Water: Based on a True Story,Missing,4.28,English,"['Historical Fiction', 'Young Adult', 'Africa', 'Middle Grade', 'Fiction', 'Realistic Fiction', 'Historical', 'War', 'Childrens', 'Cultural']",Hardcover,128,Clarion Books,2010,"['25474', '19066', '6656', '1296', '506']",97,"['Sudan', 'East Africa']",2015,Linda Sue Park,8426
The Guardians,Missing,3.68,English,"['Science Fiction', 'Young Adult', 'Fiction', 'Dystopia', 'Fantasy', 'Novels', 'School', '20th Century', 'British Literature', 'Childrens']",Mass Market Paperback,214,Collier,1972,"['137', '218', '183', '59', '11']",88,Missing,Missing,John Grisham,Missing
The Butterfly Lion,Missing,04.09,English,"['Childrens', 'Fiction', 'Animals', 'Novels', 'Historical Fiction', 'Africa', 'School', 'Middle Grade', 'Adventure', 'Historical']",Paperback,112,Collins,1996,"['3687', '3094', '1849', '369', '98']",95,['South Africa'],Missing,Michael Morpurgo,Missing
Milk and Honey,Missing,04.07,English,"['Poetry', 'Feminism', 'Nonfiction', 'Contemporary', 'Adult', 'Romance', 'Audiobook', 'Mental Health', 'Canada', 'Womens']",Paperback,204,Createspace,2014,"['165425', '90427', '52615', '23027', '13707']",89,Missing,2016,Rupi Kaur,24058
Becoming,Missing,4.53,English,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Autobiography', 'Politics', 'Biography Memoir', 'Feminism', 'Adult', 'History']",Hardcover,426,"Crown Publishing Group/Random House, Inc.",2018,"['367532', '148090', '35595', '6952', '6051']",98,Missing,Missing,Michelle Obama,Missing
Decision Points,Missing,3.79,English,"['Biography', 'Nonfiction', 'Politics', 'History', 'Memoir', 'Presidents', 'Autobiography', 'American History', 'Biography Memoir', 'Leadership']",Hardcover,497,"Crown Publishing Group/Random House, Inc.",2010,"['9728', '14700', '8676', '2147', '1428']",90,Missing,2010,George W. Bush,2201
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Missing,3.85,English,"['History', 'Nonfiction', 'World War II', 'Historical', 'Biography', 'Germany', 'War', 'Audiobook', 'Holocaust', 'Politics']",Hardcover,448,"Crown Publishing Group/Random House, Inc.",2011,"['42308', '66285', '40355', '9310', '2679']",93,['Berlin (Germany)'],2011,Eric Larson,5157
The Lost Causes of Bleak Creek,Missing,3.7,English,"['Horror', 'Fiction', 'Mystery', 'Thriller', 'Young Adult', 'Fantasy', 'Mystery Thriller', 'Audiobook', 'Humor', 'Adult']",Hardcover,326,"Crown Publishing Group/Random House, Inc.",2019,"['2957', '3112', '1897', '905', '711']",83,['North Carolina (United States)'],Missing,Rhett McLaughlin,Missing
The Martian,The Martian #1,4.4,English,"['Science Fiction', 'Fiction', 'Audiobook', 'Adventure', 'Space', 'Adult', 'Science Fiction Fantasy', 'Thriller', 'Humor', 'Survival']",Hardcover,384,"Crown Publishing Group/Random House, Inc.",2014,"['458260', '260529', '74433', '16902', '7287']",97,"['Mars', 'Houston, Texas (United States)']",2015,Andy Weir,41268
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Missing,4.23,English,"['History', 'Nonfiction', 'Biography', 'World War II', 'War', 'Audiobook', 'Historical', 'Politics', 'British Literature', 'Biography Memoir']",Kindle Edition,464,"Crown Publishing Group/Random House, Inc.",2020,"['19726', '15837', '4884', '1205', '828']",95,"['Buckinghamshire, England (United Kingdom)', 'Oxfordshire, England', 'London, England']",2020,Erik Larson,11733
Rework,Missing,3.95,English,"['Business', 'Nonfiction', 'Entrepreneurship', 'Management', 'Productivity', 'Self Help', 'Leadership', 'Buisness', 'Personal Development', 'Technology']",Hardcover,279,"Crown Publishing Group/Random House, Inc.",2010,"['54533', '42801', '26650', '8766', '5607']",90,Missing,2010,Jason Fried,2667
Dead Wake: The Last Crossing of the Lusitania,Missing,04.09,English,"['Nonfiction', 'History', 'Audiobook', 'Historical', 'War', 'World War I', 'American History', 'Adult', 'Book Club', 'British Literature']",Hardcover,430,"Crown Publishing Group/Random House, Inc.",2015,"['38605', '48364', '17812', '3185', '1629']",96,['Lusitania'],2015,Erik Larson,8113
The Immortal Life of Henrietta Lacks,Missing,04.07,English,"['Nonfiction', 'Science', 'History', 'Biography', 'Medicine', 'Audiobook', 'Book Club', 'Medical', 'Biography Memoir', 'Historical']",Hardcover,370,"Crown Publishing Group/Random House, Inc.",2010,"['238511', '210677', '94444', '25799', '17756']",93,"['Baltimore, Maryland (United States)', 'Clover, Virginia (United States)']",2010,Rebecca Skloot,11370
Quiet: The Power of Introverts in a World That Can't Stop Talking,Quiet,04.06,English,"['Nonfiction', 'Psychology', 'Self Help', 'Science', 'Business', 'Audiobook', 'Personal Development', 'Sociology', 'Leadership', 'Adult']",Hardcover,333,"Crown Publishing Group/Random House, Inc.",2012,"['126571', '119856', '55832', '14027', '7543']",93,Missing,2012,Susan Cain,12045
Switch: How to Change Things When Change Is Hard,Missing,04.04,English,"['Nonfiction', 'Business', 'Psychology', 'Self Help', 'Leadership', 'Personal Development', 'Management', 'Productivity', 'Education', 'Audiobook']",Hardcover,305,Currency,2010,"['16036', '16190', '7671', '1878', '991']",93,Missing,2010,Chip Heath,2383
The Prince,Missing,3.82,English,"['Classics', 'Philosophy', 'Nonfiction', 'Politics', 'History', 'Political Science', 'Literature', 'Italian Literature', 'Italy', 'School']",Paperback,140,Dante University of America Press,2003,"['76212', '90803', '68095', '18695', '6157']",90,Missing,Missing,Niccolo Machiavelli,Missing
Crazy Love: Overwhelmed by a Relentless God,Missing,4.15,English,"['Christian', 'Nonfiction', 'Christianity', 'Christian Living', 'Faith', 'Religion', 'Theology', 'Spirituality', 'Christian Non Fiction', 'Inspirational']",Paperback,187,David C. Cook,2008,"['72214', '43810', '22539', '6890', '4336']",93,Missing,2010,Francis Chan,1664
Watchmen,Watchmen #1-12,4.36,English,"['Graphic Novels', 'Comics', 'Fiction', 'Science Fiction', 'Fantasy', 'Graphic Novels Comics', 'Comic Book', 'Classics', 'Superheroes', 'Dystopia']",Paperback,416,DC Comics,2005,"['278346', '136403', '51447', '13455', '7561']",96,"['New York City, New York (United States)']",Missing,Alan Moore,Missing
"Everything, Everything",Missing,04.05,English,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Audiobook', 'Young Adult Contemporary', 'Teen', 'Coming Of Age', 'Young Adult Romance']",Hardcover,306,Delacorte Books for Young Readers,2015,"['151068', '130610', '70470', '19628', '7075']",93,"['Los Angeles, California (United States)', 'Maui, Hawaii (United States)']",2017,Nicola Yoon,4412
Yes Please,Missing,3.83,English,"['Nonfiction', 'Memoir', 'Humor', 'Audiobook', 'Biography', 'Comedy', 'Autobiography', 'Biography Memoir', 'Feminism', 'Adult']",Hardcover,329,Dey St.,2014,"['133258', '148607', '104845', '29072', '14302']",90,"['Burlington, Massachusetts (United States)', 'Chicago, Illinois (United States)', 'New York City, New York (United States)']",2014,Amy Poehler,4487
The Book with No Pictures,Missing,4.35,English,"['Picture Books', 'Childrens', 'Humor', 'Storytime', 'Fiction', 'Juvenile', 'Kids', 'Audiobook', 'Comedy', '2nd Grade']",Hardcover,48,Dial Books,2014,"['12972', '5766', '2264', '701', '498']",95,Missing,2014,B. J. Novak,10378
The Guernsey Literary and Potato Peel Pie Society,Missing,4.17,English,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'World War II', 'Book Club', 'War', 'Adult', 'Adult Fiction', 'Books About Books']",Paperback,291,Dial Press,2018,"['266691', '220413', '91717', '22141', '9430']",95,"['United Kingdom', 'Guernsey']",2010,Mary Ann Shaffer,10026
A Little Life,Missing,4.31,English,"['Fiction', 'Contemporary', 'LGBT', 'Literary Fiction', 'Adult', 'Novels', 'Adult Fiction', 'Queer', 'Audiobook', 'Literature']",Hardcover,720,Doubleday Books,2015,"['122769', '52252', '21553', '9093', '5893']",93,"['New York City, New York (United States)', 'SoHo, New York City, New York (United States)']",Missing,Hanya Yanagihara,Missing
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,Missing,04.07,English,"['Nonfiction', 'History', 'True Crime', 'Crime', 'Mystery', 'Audiobook', 'Historical', 'American History', 'Book Club', 'Adult']",ebook,359,Doubleday Books,2017,"['45279', '54209', '21634', '4328', '1878']",95,Missing,2017,David Grann,10461
The Racketeer,Missing,3.83,English,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Legal Thriller', 'Suspense', 'Mystery Thriller', 'Audiobook', 'Novels', 'Drama']",Hardcover,340,Doubleday Books,2012,"['22552', '36329', '23026', '5250', '1388']",93,"['Roanoke, Virginia (United States)', 'Frostburg, Maryland (United States)', 'Florida (United States)', 'Antigua (Antigua and Barbuda)']",2012,John Grisham,15885
The Rooster Bar,Missing,3.62,English,"['Fiction', 'Mystery', 'Thriller', 'Audiobook', 'Legal Thriller', 'Crime', 'Suspense', 'Mystery Thriller', 'Contemporary', 'Law']",Hardcover,368,Doubleday Books,2017,"['16897', '25184', '22372', '7355', '2702']",87,Missing,2017,John Grisham,10093
"My Sister, the Serial Killer",Missing,3.74,English,"['Fiction', 'Thriller', 'Mystery', 'Contemporary', 'Crime', 'Audiobook', 'Africa', 'Mystery Thriller', 'Adult', 'Nigeria']",Hardcover,226,Doubleday Books,2018,"['29186', '66197', '43299', '8904', '2391']",92,['Lagos (Nigeria)'],Missing,Oyinkan Braithwaite,Missing
The Starless Sea,Missing,3.85,English,"['Fantasy', 'Fiction', 'Adult', 'Magical Realism', 'Audiobook', 'LGBT', 'Romance', 'Books About Books', 'Adult Fiction', 'Magic']",Hardcover,498,Doubleday Books,2019,"['32587', '26085', '18410', '8850', '3160']",87,"['New England (United States)', 'Manhattan, New York City, New York (United States)']",Missing,Erin Morgenstern,Missing
The Fault in Our Stars,Missing,4.21,English,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Drama', 'Novels', 'Love']",Hardcover,313,Dutton Books,2012,"['1784471', '1022406', '512574', '150365', '80898']",93,"['Indianapolis, Indiana (United States)', 'Amsterdam (Netherlands)']",2012,John Green,52620
If I Stay,If I Stay #1,3.94,English,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Teen', 'Music', 'Death', 'Audiobook', 'Young Adult Contemporary']",Hardcover,201,Dutton Books,2009,"['257068', '237108', '155491', '45192', '17491']",91,"['United States of America', 'Oregon (United States)']",2014,Gayle Forman,8339
Turtles All the Way Down,Missing,3.95,English,"['Young Adult', 'Fiction', 'Contemporary', 'Mental Health', 'Romance', 'Audiobook', 'Realistic Fiction', 'Mental Illness', 'Mystery', 'Teen']",Hardcover,286,Dutton Books,2017,"['104353', '117614', '69075', '17866', '5328']",93,"['Indianapolis, Indiana (United States)', 'Indiana (United States)']",2017,John Green,5894
Thirteen,The Winnie Years #4,04.07,English,"['Realistic Fiction', 'Middle Grade', 'Childrens', 'Romance', 'Young Adult', 'Contemporary', 'Chick Lit', 'Fiction', 'Coming Of Age', 'Humor']",Hardcover,244,Dutton Books,2008,"['2172', '1561', '962', '273', '102']",93,Missing,Missing,Steve Cavanagh,Missing
