title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated
Wreck This Journal,Missing,4.14,English,"['Nonfiction', 'Art', 'Humor', 'Self Help', 'Journal', 'Writing', 'Journaling', 'Crafts', 'Reference', 'Adventure']",Paperback,192,Perigee Trade,2007,"['7255', '3890', '2424', '733', '424']",92,Missing,Missing,Keri Smith,Missing
The Day the Crayons Came Home,Crayons,4.39,English,"['Picture Books', 'Childrens', 'Humor', 'Fiction', 'Art', 'Fantasy', 'Storytime', 'Adventure', 'Kids', 'School']",Hardcover,48,Philomel Books,2015,"['7738', '3935', '1340', '299', '174']",96,Missing,2015,Drew Daywalt,3189
The Day the Crayons Quit,Crayons,4.42,English,"['Picture Books', 'Childrens', 'Humor', 'Fiction', 'Art', 'Fantasy', 'Storytime', 'School', 'Kids', 'Juvenile']",Hardcover,30,Philomel Books,2013,"['27558', '11250', '3997', '1146', '796']",96,Missing,2013,Drew Daywalt,11431
Sophie's World,Missing,3.93,English,"['Philosophy', 'Fiction', 'Classics', 'Young Adult', 'Novels', 'Fantasy', 'Literature', 'Contemporary', 'Unfinished', 'Scandinavian Literature']",Paperback,403,Phoenix,1995,"['69611', '70306', '42251', '12751', '5315']",91,Missing,Missing,Jostein Gaarder,Missing
Before the Coffee Gets Cold,Before the Coffee Gets Cold #1,3.77,English,"['Fiction', 'Fantasy', 'Magical Realism', 'Contemporary', 'Time Travel', 'Japan', 'Japanese Literature', 'Science Fiction', 'Adult', 'Asia']",Paperback,213,Picador,2019,"['3351', '5829', '3993', '977', '235']",92,Missing,Missing,Toshikazu Kawaguchi,Missing
Start with Why: How Great Leaders Inspire Everyone to Take Action,Missing,04.08,English,"['Business', 'Leadership', 'Nonfiction', 'Self Help', 'Personal Development', 'Management', 'Psychology', 'Audiobook', 'Entrepreneurship', 'Buisness']",Hardcover,256,Portfolio,2009,"['53330', '38633', '20037', '6360', '3474']",92,Missing,2017,Simon Sinek,11995
The Infinite Game,Missing,4.22,English,"['Business', 'Nonfiction', 'Leadership', 'Self Help', 'Personal Development', 'Management', 'Audiobook', 'Psychology', 'Philosophy', 'Buisness']",Hardcover,272,Portfolio,2019,"['3709', '2977', '1185', '242', '75']",96,Missing,Missing,Simon Sinek,Missing
The Diary of a Bookseller,Missing,3.78,English,"['Nonfiction', 'Books About Books', 'Memoir', 'Biography', 'Scotland', 'Biography Memoir', 'Audiobook', 'Humor', 'Contemporary', 'Autobiography']",Hardcover,310,Profile Books,2017,"['3628', '6136', '4078', '1020', '285']",91,"['Wigtown, Galloway, Scotland']",Missing,Shaun Bythell,Missing
Revolting Rhymes,Missing,4.14,English,"['Poetry', 'Childrens', 'Fiction', 'Humor', 'Fantasy', 'Classics', 'Picture Books', 'Fairy Tales', 'Young Adult', 'Middle Grade']",Paperback,48,Puffin Books,2003,"['7865', '5992', '3287', '689', '203']",95,Missing,Missing,Roald Dahl,Missing
Where's Spot?,Spot the Dog,4.1,English,"['Picture Books', 'Childrens', 'Animals', 'Dogs', 'Fiction', 'Storytime', 'Classics', 'Spanish Literature', 'Juvenile', 'Family']",Paperback,24,Puffin Books,1983,"['7764', '4410', '3559', '910', '258']",93,Missing,2020,Eric Hill,14081
Charlie and the Chocolate Factory,Charlie Bucket #1,4.14,English,"['Childrens', 'Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Middle Grade', 'Humor', 'Adventure', 'Juvenile', 'Novels']",Paperback,176,Puffin Books,2005,"['285308', '229774', '117014', '22663', '9951']",95,Missing,Missing,Roald Dahl,Missing
Each Peach Pear Plum,Missing,4.22,English,"['Picture Books', 'Childrens', 'Poetry', 'Fiction', 'Nursery Rhymes', 'Fairy Tales', 'Classics', 'Storytime', 'Juvenile', 'Fantasy']",Board book,34,Puffin Books,1999,"['8448', '4527', '2664', '646', '267']",94,Missing,Missing,Janet Ahlberg,Missing
